Sequence_ID	Organism	Fwd_primer_name	Rev_primer_name	Specimen_voucher	Country	Note	Lat_Lon	Collection_date	Collected_by			
FISHCARD_elas_29.1	Mustelus californicus	MiFish Elasmobranch	MiFish Elasmobranch	#03-65	USA	San Diego Co.: “between Encinitas & Oceanside”	"33.1083N,117.325W"	13-Jul-2003	"via J Hyde, SIO grad student"			
FISHCARD_elas_30.1	Triakis semifasciata	MiFish Elasmobranch	MiFish Elasmobranch	#02-18	USA	San Diego Co.: La Jolla Shores	"32.85N,117.2667W"	13-Sep-2001	"E Kisfaludy, SIO"			
FISHCARD_elas_31.1	Urobatis halleri	MiFish Elasmobranch	MiFish Elasmobranch	#01-178	USA	San Diego Co.: Mission Bay: NW of Fiesta Island	"32.7833N,117.25W"	27-Sep-2001	"M Craig & Joel Fodrie, SIO graduate students"			
FISHCARD_elas_32.1	Alopias superciliosus	MiFish Elasmobranch	MiFish Elasmobranch	#04-32	USA	"ca 70 mi offshore, near U.S./Mexico border"	"32.5833N,118.3333W"	2-Mar-2004	"local fisherman, via C. Sepulveda, SIO"			
FISHCARD_elas_33.1	Notorynchus cepedianus	MiFish Elasmobranch	MiFish Elasmobranch	#04-47	USA	San Diego Co.: Point Loma kelp bed	"32.7283N,117.2683W"	5-Apr-2004	"M Shane & party, Hubbs-Sea World Res. Inst."			
FISHCARD_elas_34.1	Alopias pelagicus	MiFish Elasmobranch	MiFish Elasmobranch	#04-188	Mexico	off Guaymas	"27.9167N,111.0667W"	14-Nov-2004	"commercial fisherman (via C. Sepulveda, SIO grad. student)"			
FISHCARD_elas_35.1	Tetronarce californica	MiFish Elasmobranch	MiFish Elasmobranch	#05-1	USA	San Diego Co.: Carlsbad: Encino Power Plant	"33.1583N,117.3483W"	2-Feb-2005	"J Hyde & B Erisman, SIO grad. students"			
FISHCARD_elas_36.1	Beringraja binoculata	MiFish Elasmobranch	MiFish Elasmobranch	#05-114	USA	off northern California	"37.9167N,122.5W"	31-Jul-2005	NULL			
FISHCARD_elas_37.1	Pteroplatytrygon violacea	MiFish Elasmobranch	MiFish Elasmobranch	#05-76	USA	San Diego Co.: off Torrey Pines	"32.9083N,117.2583W"	19-Aug-2005	"E Kisfaludy & S Albers, SIO"			
FISHCARD_elas_38.1	Mustelus henlei	MiFish Elasmobranch	MiFish Elasmobranch	#05-84	USA	San Diego Co: off San Diego	"32.7667N,117.2167W"	27-Sep-2005	B Steele			
FISHCARD_elas_39.1	Apristurus brunneus	MiFish Elasmobranch	MiFish Elasmobranch	#05-89	USA	NULL	"35.965N,121.6267W"	9-Jul-2005	D Kamikawa & NMFS party			
FISHCARD_elas_40.1	Beringraja rhina	MiFish Elasmobranch	MiFish Elasmobranch	#05-89	USA	NULL	"35.965N,121.6267W"	9-Jul-2005	D Kamikawa & NMFS party			
FISHCARD_elas_41.1	Apristurus kampae	MiFish Elasmobranch	MiFish Elasmobranch	#05-97	USA	NULL	"32.83N,117.7833W"	23-Jul-2005	D Kamikawa & NMFS party			
FISHCARD_elas_42.1	Beringraja inornata	MiFish Elasmobranch	MiFish Elasmobranch	#05-102	USA	NULL	"32.8733N,117.3017W"	24-Jul-2005	D Kamikawa & NMFS party			
FISHCARD_elas_43.1	Cephaloscyllium ventriosum	MiFish Elasmobranch	MiFish Elasmobranch	#05-98	USA	NULL	"34.37N,119.7683W"	17-Jul-2005	D Kamikawa & NMFS party			
FISHCARD_elas_44.1	Bathyraja interrupta	MiFish Elasmobranch	MiFish Elasmobranch	#05-87	USA	NULL	"36.3867N,122.0667W"	9-Jul-2005	D Kamikawa & NMFS party			
FISHCARD_elas_45.1	Beringraja stellulata	MiFish Elasmobranch	MiFish Elasmobranch	#05-86	USA	NULL	"36.81N,122.0483W"	8-Jul-2005	D Kamikawa & NMFS party			
FISHCARD_elas_46.1	Bathyraja abyssicola	MiFish Elasmobranch	MiFish Elasmobranch	#06-002	USA	Bering Sea	"56.8517N,172.4183W"	24-Jun-2004	"DE Stevenson, NMFS"			
FISHCARD_elas_47.1	Amblyraja hyperborea	MiFish Elasmobranch	MiFish Elasmobranch	#06-36	USA	NULL	"36.71N,122.28W"	3-Nov-2001	NMFS-Seattle			
FISHCARD_elas_48.1	Rhincodon typus	MiFish Elasmobranch	MiFish Elasmobranch	#05-111	Philippines	Pamilican Island: Bohol	"9.1667N,124.4167E"	24-Feb-1997	MNR Alava & AA Yaptinchay			
FISHCARD_elas_49.1	Squalus suckleyi	MiFish Elasmobranch	MiFish Elasmobranch	#06-7	USA	NULL	"36.74N,121.9117W"	1-Jul-1993	M Domeier			
FISHCARD_elas_50.1	Squatina californica	MiFish Elasmobranch	MiFish Elasmobranch	#06-5	USA	San Diego Co.: off Carlsbad	"33.1333N,117.3433W"	25-Aug-2005	Hubbs-Sea World Res. Inst.			
FISHCARD_elas_51.1	Megachasma pelagios	MiFish Elasmobranch	MiFish Elasmobranch	#07-53	Mexico	off Bahia Tortugas	"27.6833N,114.8833W"	16-Nov-2006	Capt E Magana & crew			
FISHCARD_elas_52.1	Mustelus lunulatus	MiFish Elasmobranch	MiFish Elasmobranch	#09-212	Mexico	Todos Santos Commercial Beach	"23.6833N,110.3833W"	8-May-2009	commercial fishermen (via J Snow)			
FISHCARD_elas_53.1	Zapteryx exasperata	MiFish Elasmobranch	MiFish Elasmobranch	6 #10-59	Mexico	Todos Santos Commercial  Beach	"23.41N,110.23W"	7-May-2010	commercial fishers [via J Snow]			
FISHCARD_elas_54.1	Euprotomicrus sp.	MiFish Elasmobranch	MiFish Elasmobranch	#98-173	NULL	NULL	"29.25N,144.7167W"	28-May-1997	"R Pitman, NMFS-La Jolla"			
FISHCARD_miu_001.1	Nansenia candida	MiFish Teleost	MiFish Teleost	#06-98	USA	NULL	"32.8N,124.0667W"	1-Jun-2006	"P Davison & M Decima, SIO grad. students"			
FISHCARD_miu_002.1	Syngnathus leptorhynchus	MiFish Teleost	MiFish Teleost	#11-230	NULL	NULL		16-Oct-2008	"P Davison, SIO"			
FISHCARD_miu_003.1	Nectoliparis pelagicus	MiFish Teleost	MiFish Teleost	#06-34	NULL	NULL			NULL			
FISHCARD_miu_004.1	Zaniolepis frenata	MiFish Teleost	MiFish Teleost	#12-14	USA	California Current	"34.35N,121.0833W"	8-Feb-2012	"P Davison, SIO"			
FISHCARD_miu_005.1	Gobiesox maeandricus	MiFish Teleost	MiFish Teleost	#06-42	USA	San Luis Obispo Co.:  Cambria; intertidal	"35.5933N,121.5933W"	25-Jun-1905	"M Ramon, UC Santa Cruz"			
FISHCARD_miu_006.1	Merluccius productus	MiFish Teleost	MiFish Teleost	NA	NULL	NULL			NULL			
FISHCARD_miu_007.1	Coelorinchus scaphopsis	MiFish Teleost	MiFish Teleost	#97-184	USA	NULL	"37.925N,123.455W"	28-Jun-1995	A Rocha & NMFS party			
FISHCARD_miu_008.1	Roncador stearnsii	MiFish Teleost	MiFish Teleost	#02-75	USA	"San Diego Co.: La Jolla, near SIO"	"32.8667N,117.25W"	28-Jun-2002	"M Craig, SIO"			
FISHCARD_miu_009.1	Scomber japonicus	MiFish Teleost	MiFish Teleost	#04-102	USA	San Diego Co.: La Jolla:  “few hundred yards off SIO Pier”	"32.8667N,117.25W"	8-Jul-2004	"C Sepulveda, SIO grad. student"			
FISHCARD_miu_010.1	Icosteus aenigmaticus	MiFish Teleost	MiFish Teleost	#99-95	USA	off Cape Mendocino	"39.3333N,123.6667W"	15-Sep-1998	NULL			
FISHCARD_miu_011.1	Sphyraena argentea	MiFish Teleost	MiFish Teleost	#04-179	USA	San Diego Co.: off Torrey Pines State Park	"32.9667N,117.2667W"	16-Oct-2004	"J Fodrie, SIO grad. student"			
FISHCARD_miu_012.1	Trachipterus altivelis	MiFish Teleost	MiFish Teleost	#02-15	USA	Santa Catalina Island	"33.3833N,118.4W"	1-Mar-2002	"via M Shane, Hubbs-SeaWorld Research Inst."			
FISHCARD_miu_013.1	Protomyctophum crockeri	MiFish Teleost	MiFish Teleost	#93-298	USA	NULL	"36.7733N,122.58W"	20-Nov-1993	"P Smith & party, NMFS"			
FISHCARD_miu_014.1	Parophrys vetulus	MiFish Teleost	MiFish Teleost	#02-72	USA	San Diego Co.: La Jolla:  near SIO	"32.8667N,117.25W"	18-Jun-2002	"M Craig, J Fodrie & M Newman, SIO grad. students"			
FISHCARD_miu_015.1	Microstomus pacificus	MiFish Teleost	MiFish Teleost	#99-30	Canada	NULL	"51.2117N,128.5533W"	10-Jul-1992	"(prob.) L Zimm, SIO"			
FISHCARD_miu_016.1	Glyptocephalus zachirus	MiFish Teleost	MiFish Teleost	#05-91	USA	NULL	"35.085N,121.2167W"	10-Jul-2005	D Kamikawa & NMFS party			
FISHCARD_miu_017.1	Lyopsetta exilis	MiFish Teleost	MiFish Teleost	NA	NULL	NULL			NULL			
FISHCARD_miu_018.1	Melanonus zugmayeri	MiFish Teleost	MiFish Teleost	#10-168	NULL	NULL	"32.9167N,140.3167W"	10-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_019.1	Psettichthys melanostictus	MiFish Teleost	MiFish Teleost	#05-113	USA	off northern California	"37.9167N,122.5W"	30-Jul-2005	NULL			
FISHCARD_miu_020.1	Engraulis mordax	MiFish Teleost	MiFish Teleost	#05-79	USA	San Diego Co.: just north of SIO Pier	"32.8667N,117.25W"	26-Aug-2005	"B Erisman & party, SIO"			
FISHCARD_miu_021.1	Sternoptyx obscura	MiFish Teleost	MiFish Teleost	#05-04	USA	NULL	"34.695N,123.21W"	1-Feb-2005	"D Bailey (K Smith lab), SIO"			
FISHCARD_miu_022.1	Sternoptyx pseudobscura	MiFish Teleost	MiFish Teleost	#93-299	USA	NULL	"36.1867N,121.915W"	20-Nov-1993	"P Smith & party, NMFS"			
FISHCARD_miu_023.1	Stomias atriventer	MiFish Teleost	MiFish Teleost	#01-74	USA	San Diego Co.: off Point Loma	"32.6833N,117.2333W"	5-May-2001	"P Hastings & M Ohman & party, SIO"			
FISHCARD_miu_024.1	Vinciguerria nimbaria	MiFish Teleost	MiFish Teleost	#10-172	NULL	NULL	"34.0667N,139.9833W"	14-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_025.1	Vinciguerria lucetia	MiFish Teleost	MiFish Teleost	10 #06-296	NULL	NULL	"16.095N,106.6933W"	2-Nov-2006	NULL			
FISHCARD_miu_026.1	Stenobrachius leucopsarus	MiFish Teleost	MiFish Teleost	#93-299	USA	NULL	"36.1867N,121.915W"	20-Nov-1993	"P Smith & party, NMFS"			
FISHCARD_miu_027.1	Scopelogadus bispinosus	MiFish Teleost	MiFish Teleost	#93-300	Mexico	off Baja CA Norte	"32.2733N,119.43W"	21-Nov-1993	"P Smith & party, NMFS"			
FISHCARD_miu_028.1	Notoscopelus resplendens	MiFish Teleost	MiFish Teleost	#10-167	NULL	NULL	"32.0667N,137.9167W"	9-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_029.1	Triphoturus nigrescens	MiFish Teleost	MiFish Teleost	#10-167	NULL	NULL	"32.0667N,137.9167W"	9-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_030.1	Lobianchia gemellarii	MiFish Teleost	MiFish Teleost	#10-167	NULL	NULL	"32.0667N,137.9167W"	9-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_031.1	Diaphus theta	MiFish Teleost	MiFish Teleost	#93-299	USA	NULL	"36.1867N,121.915W"	20-Nov-1993	"P Smith & party, NMFS"			
FISHCARD_miu_032.1	Centrobranchus nigroocellatus	MiFish Teleost	MiFish Teleost	#10-166	NULL	NULL	"32.1N,137.9W"	9-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_033.1	Lestidiops pacificus	MiFish Teleost	MiFish Teleost	#10-164	NULL	NULL	"32.0667N,137.9W"	8-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_034.1	Melamphaes simus	MiFish Teleost	MiFish Teleost	#10-164	NULL	NULL	"32.0667N,137.9W"	8-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_035.1	Leuresthes tenuis	MiFish Teleost	MiFish Teleost	#05-64	USA	Orange Co.: Doheny State Beach; shore	"38.075N,123.965W"	8-Jul-2005	"D Roberts [per K Martin, Occidental College]"			
FISHCARD_miu_036.1	Trachurus symmetricus	MiFish Teleost	MiFish Teleost	#03-75	USA	San Diego Co.: La Jolla: Scripps Canyon	"32.85N,117.25W"	1-Jul-2003	"J Hyde, SIO grad. student"			
FISHCARD_miu_037.1	Gobiesox rhessodon	MiFish Teleost	MiFish Teleost	NA	NULL	NULL			NULL			
FISHCARD_miu_038.1	Ophidion scrippsae	MiFish Teleost	MiFish Teleost	#02-26	USA	San Diego Co.: La Jolla:  Scripps Coastal Reserve	"32.8717N,117.255W"	28-Feb-2002	"M Craig & party, SIO"			
FISHCARD_miu_039.1	Sebastes semicinctus	MiFish Teleost	MiFish Teleost	#97-181	USA	NULL	"37.58N,122.915W"	27-Jun-1995	A Rocha & NMFS party			
FISHCARD_miu_040.1	Sebastes saxicola	MiFish Teleost	MiFish Teleost	#01-189	USA	off Point Loma	"32.6833N,117.2333W"	20-Oct-2001	"R Rosenblatt & P Franks, SIO"			
FISHCARD_miu_041.1	Sebastes rastrelliger	MiFish Teleost	MiFish Teleost	#10-96	USA	Monterey Co.: Elkhorn Slough Nat’l Estuarine Res. Reserve	"36.8117N,121.7883W"	5-Aug-2010	[via RN Lea]			
FISHCARD_miu_042.1	Sebastes babcocki	MiFish Teleost	MiFish Teleost	#07-183	USA	Monterey Co. Ascension Canyon	"36.9167N,122.4667W"	6-Nov-2007	"P Reiley, Calif. Fish &  Game"			
FISHCARD_miu_043.1	Phanerodon vacca	MiFish Teleost	MiFish Teleost	#04-103	USA	Puget Sound:  Port Orchard NMFS salmon pens	"47.5333N,122.6667W"	1-Sep-2003	"R Burhans & M Ball, SIO Aquarium"			
FISHCARD_miu_044.1	Phanerodon furcatus	MiFish Teleost	MiFish Teleost	#06-267	Mexico	Bahia El Rosario	"29.95N,115.8167W"	28-Jun-1905	"J Rosales, CICESE"			
FISHCARD_miu_045.1	Micrometrus minimus	MiFish Teleost	MiFish Teleost	#06-267	Mexico	Bahia El Rosario	"29.95N,115.8167W"	28-Jun-1905	"J Rosales, CICESE"			
FISHCARD_miu_046.1	Hyperprosopon argenteum	MiFish Teleost	MiFish Teleost	#06-267	Mexico	Bahia El Rosario	"29.95N,115.8167W"	28-Jun-1905	"J Rosales, CICESE"			
FISHCARD_miu_047.1	Syngnathus exilis	MiFish Teleost	MiFish Teleost	#19-52	USA	"San Diego Co.: La Jolla, SIO Pier"		3-Jun-2019	BW Frable			
FISHCARD_miu_048.1	Macroramphosus gracilis	MiFish Teleost	MiFish Teleost	#09-308	USA	California Current	"32.65N,118.85W"	30-Sep-2008	"P Davison, SIO"			
FISHCARD_miu_049.1	Hippocampus ingens	MiFish Teleost	MiFish Teleost	#10-131	Mexico	"Islas Tres Marias: Isla Maria Magdalena, “seamount” off SE end"	"21.4483N,106.3433W"	15-Nov-2010	"G Galland & party, SIO"			
FISHCARD_miu_050.1	Cosmocampus arctus	MiFish Teleost	MiFish Teleost	#11-100	Mexico	Puerto Refugio	"29.5433N,113.5567W"	21-Jul-2010	"G Galland & J Lund, SIO"			
FISHCARD_miu_051.1	Bathyagonus pentacanthus	MiFish Teleost	MiFish Teleost	#97-184	USA	NULL	"37.925N,123.455W"	28-Jun-1995	A Rocha & NMFS party			
FISHCARD_miu_052.1	Zaniolepis latipinnis	MiFish Teleost	MiFish Teleost	#11-364	USA	San Diego Co.: off Point Loma	"32.62N,117.28W"	26-Feb-2011	P Hastings & biology class			
FISHCARD_miu_053.1	Hypsoblennius gilberti	MiFish Teleost	MiFish Teleost	many	NULL	NULL			NULL			
FISHCARD_miu_054.1	Hypsoblennius gentilis	MiFish Teleost	MiFish Teleost	many	NULL	NULL			NULL			
FISHCARD_miu_055.1	Eucryphycus californicus	MiFish Teleost	MiFish Teleost	#07-183	USA	Monterey Co. Ascension Canyon	"36.9167N,122.4667W"	6-Nov-2007	"P Reiley, Calif. Fish &  Game"			
FISHCARD_miu_056.1	Anarrhichthys ocellatus	MiFish Teleost	MiFish Teleost	#06-271	USA	Newport: born in captivity at Oregon Coast Aquarium	"44.8N,124.05W"		via SIO Aquarium			
FISHCARD_miu_057.1	Chiasmodon subniger	MiFish Teleost	MiFish Teleost	#07-165	USA	San Diego Co.: off Point Loma	"32.6833N,117.2333W"	27-Oct-2007	"P Hastings, L Levin & SIO Deep-Sea Biol. Class"			
FISHCARD_miu_059.1	Rhinogobiops nicholsii	MiFish Teleost	MiFish Teleost	many	NULL	NULL			NULL			
FISHCARD_miu_060.1	Gillichthys mirabilis	MiFish Teleost	MiFish Teleost	#03-167	USA	San Diego Co.: Encinitas:  mouth of San Elijo Lagoon	"33.0133N,117.2617W"	19-Nov-2003	"J Fodrie & HJ Walker, SIO"			
FISHCARD_miu_061.1	Oneirodes acanthias	MiFish Teleost	MiFish Teleost	#11-231	NULL	NULL	"33.0667N,121.4833W"	17-Oct-2008	"P Davison, SIO"			
FISHCARD_miu_062.1	Plagiotremus azaleus	MiFish Teleost	MiFish Teleost	many	NULL	NULL			NULL			
FISHCARD_miu_063.1	Labrisomus xanti	MiFish Teleost	MiFish Teleost	many	NULL	NULL			NULL			
FISHCARD_miu_064.1	Hypsoblennius jenkinsi	MiFish Teleost	MiFish Teleost	#17-23	USA	"Monterey, commercial wharf"		9-Jan-2017	A Kim via RN Lea			
FISHCARD_miu_065.1	Sebastes gilli	MiFish Teleost	MiFish Teleost	#07-72	USA	Tanner Bank	"32.6667N,119.1333W"	6-Apr-2005	"J Hyde, SIO grad student"			
FISHCARD_miu_066.1	Galeocerdo cuvier	MiFish Teleost	MiFish Teleost	#12-39	Mexico	Todos Santos Commercial Beach	"23.41N,110.23W"	4-Apr-2012	commercial fishers (via J Snow)			
FISHCARD_miu_067.1	Galeorhinus galeus	MiFish Teleost	MiFish Teleost	#10-76	USA	"San Diego Co.: La Jolla, N of SIO Pier"	"32.8667N,117.25W"	29-May-2010	J Deyling [local fisher]			
FISHCARD_miu_068.1	Sphyrna zygaena	MiFish Teleost	MiFish Teleost	#09-293	Mexico	Todos Santos Commercial Beach	"23.3833N,110.2W"	2-Jun-2009	J Snow			
FISHCARD_miu_069.1	Mobula mobular	MiFish Teleost	MiFish Teleost	#16-76	Sri Lanka	NULL		30-May-2012	D Fernando			
FISHCARD_miu_070.1	Haemulon flaviguttatum	MiFish Teleost	MiFish Teleost	#06-264	Mexico	Bahia de Los Angeles	"29N,113W"	25-Nov-2006	"J Hyde, SIO grad. student"			
FISHCARD_miu_071.1	Mycteroperca jordani	MiFish Teleost	MiFish Teleost	#06-40	NULL	NULL		30-Aug-2000	"M Craig, Occidental College"			
FISHCARD_miu_072.1	Morone saxatilis	MiFish Teleost	MiFish Teleost	#10-195	USA	off Santa Barbara Island	"33.4667N,119.0333W"	20-Jun-2001	"[via D Pondella, Occidental College]"			
FISHCARD_miu_073.1	Dolichopteryx longipes	MiFish Teleost	MiFish Teleost	#06-28	NULL	NULL			NULL			
FISHCARD_miu_074.1	Gadus macrocephalus	MiFish Teleost	MiFish Teleost	62 #10-47	USA	NULL	"48.2183N,125.5117W"	26-Aug-2005	NWFC/NMFS			
FISHCARD_miu_075.1	Thaleichthys pacificus	MiFish Teleost	MiFish Teleost	9 #10-44	USA	NULL	"47.9N,125.0367W"	25-Aug-2005	NWFC/NMFS			
FISHCARD_miu_076.1	Ophiodon elongatus	MiFish Teleost	MiFish Teleost	#06-50	USA	San Diego Co.: off La Jolla and Del Mar	"32.9167N,117.2667W"	21-Apr-2006	"E Kisfaludi, SIO"			
FISHCARD_miu_077.1	Genyonemus lineatus	MiFish Teleost	MiFish Teleost	#10- 77	USA 	San Diego Co.: San Onofre 		11-Feb-2010				
FISHCARD_miu_078.1	Allocyttus folletti	MiFish Teleost	MiFish Teleost	#97-120	USA	NULL	"36.75N,121.9167W"	6-Jul-1996	NULL			
FISHCARD_miu_079.1	Coryphaenoides acrolepis	MiFish Teleost	MiFish Teleost	#05-104	USA	San Diego Co.: off Point Loma	"32.6N,117.5083W"	2-Oct-2005	"P Hastings, L Levin, C Klepadlo & SIO party"			
FISHCARD_miu_080.1	Pseudobatos productus	MiFish Teleost	MiFish Teleost	#03-160	USA	San Diego Co.: La Jolla	"32.85N,117.2667W"	22-Aug-2002	"M Craig & J Fodrie, SIO grad. students"			
FISHCARD_miu_081.1	Gymnura marmorata	MiFish Teleost	MiFish Teleost	#01-180	USA	"San Diego Co.: La Jolla, off Black’s Beach"	"32.8667N,117.25W"	5-Oct-2001	"M Craig & J Fodrie, SIO grad. students"			
FISHCARD_miu_082.1	Bothrocara molle	MiFish Teleost	MiFish Teleost	#05-165	USA	NULL	"34.5333N,121.1167W"	25-Oct-1997	NMFS			
FISHCARD_miu_083.1	Caulolatilus princeps	MiFish Teleost	MiFish Teleost	#00-160	USA	San Diego Co.: off Point Loma	"32.6833N,117.2333W"	3-Dec-2000	Capt. D Reef via B Steele			
FISHCARD_miu_084.1	Hypsypops rubicundus	MiFish Teleost	MiFish Teleost	#03-69	USA	San Diego Co.: Point Loma kelp bed	"32.6833N,117.2333W"	3-Jun-2003	Hubbs-Sea World Res. Inst.			
FISHCARD_miu_085.1	Remorina albescens	MiFish Teleost	MiFish Teleost	#05-37	Australia	Port Stephens	"32.13S,152.0817E"	1-Mar-2005	"K Gray, VIMS grad. student"			
FISHCARD_miu_087.1	Sardinops sagax	MiFish Teleost	MiFish Teleost	#04-102	USA	San Diego Co.: La Jolla:  Òfew hundred yards off SIO PierÓ		8-Jul-2004	"C Sepulveda, SIO grad. student"			
