"","Comparison","BLCA_score","Taxonomic_rank","Metric","Value"
"544","global_trim_vs_local_trim",60,"Species","Over-classification Rate",NA
"545","global_trim_vs_local_trim",60,"Species","Accuracy",86.5
"546","global_trim_vs_local_trim",60,"Genus","True Positive Rate",96.1
"547","global_trim_vs_local_trim",60,"Genus","Under-classification Rate ",3.7
"548","global_trim_vs_local_trim",60,"Genus","Misclassification Rate",0.3
"549","global_trim_vs_local_trim",60,"Genus","Over-classification Rate",NA
"550","global_trim_vs_local_trim",60,"Genus","Accuracy",96.1
"551","global_trim_vs_local_trim",60,"Family","True Positive Rate",99.7
"552","global_trim_vs_local_trim",60,"Family","Under-classification Rate ",0.3
"553","global_trim_vs_local_trim",60,"Family","Misclassification Rate",0
"554","global_trim_vs_local_trim",60,"Family","Over-classification Rate",NA
"555","global_trim_vs_local_trim",60,"Family","Accuracy",99.7
"556","global_trim_vs_local_trim",60,"Order","True Positive Rate",99.9
"557","global_trim_vs_local_trim",60,"Order","Under-classification Rate ",0.1
"558","global_trim_vs_local_trim",60,"Order","Misclassification Rate",0
"559","global_trim_vs_local_trim",60,"Order","Over-classification Rate",NA
"560","global_trim_vs_local_trim",60,"Order","Accuracy",99.9
"561","global_trim_vs_local_trim",60,"Class","True Positive Rate",100
"562","global_trim_vs_local_trim",60,"Class","Under-classification Rate ",0
"563","global_trim_vs_local_trim",60,"Class","Misclassification Rate",0
"564","global_trim_vs_local_trim",60,"Class","Over-classification Rate",NA
"565","global_trim_vs_local_trim",60,"Class","Accuracy",100
"566","global_trim_vs_local_trim",60,"Phylum","True Positive Rate",100
"567","global_trim_vs_local_trim",60,"Phylum","Under-classification Rate ",0
"568","global_trim_vs_local_trim",60,"Phylum","Misclassification Rate",0
"569","global_trim_vs_local_trim",60,"Phylum","Over-classification Rate",NA
"570","global_trim_vs_local_trim",60,"Phylum","Accuracy",100
"571","global_trim_vs_local_trim",70,"Species","True Positive Rate",82.4
"572","global_trim_vs_local_trim",70,"Species","Under-classification Rate ",16.8
"573","global_trim_vs_local_trim",70,"Species","Misclassification Rate",0.8
"574","global_trim_vs_local_trim",70,"Species","Over-classification Rate",NA
"575","global_trim_vs_local_trim",70,"Species","Accuracy",82.4
"576","global_trim_vs_local_trim",70,"Genus","True Positive Rate",95.3
"577","global_trim_vs_local_trim",70,"Genus","Under-classification Rate ",4.5
"578","global_trim_vs_local_trim",70,"Genus","Misclassification Rate",0.1
"579","global_trim_vs_local_trim",70,"Genus","Over-classification Rate",NA
"580","global_trim_vs_local_trim",70,"Genus","Accuracy",95.3
"581","global_trim_vs_local_trim",70,"Family","True Positive Rate",99.6
"582","global_trim_vs_local_trim",70,"Family","Under-classification Rate ",0.3
"583","global_trim_vs_local_trim",70,"Family","Misclassification Rate",0
"584","global_trim_vs_local_trim",70,"Family","Over-classification Rate",NA
"585","global_trim_vs_local_trim",70,"Family","Accuracy",99.6
"586","global_trim_vs_local_trim",70,"Order","True Positive Rate",99.9
"587","global_trim_vs_local_trim",70,"Order","Under-classification Rate ",0.1
"588","global_trim_vs_local_trim",70,"Order","Misclassification Rate",0
"589","global_trim_vs_local_trim",70,"Order","Over-classification Rate",NA
"590","global_trim_vs_local_trim",70,"Order","Accuracy",99.9
"591","global_trim_vs_local_trim",70,"Class","True Positive Rate",100
"592","global_trim_vs_local_trim",70,"Class","Under-classification Rate ",0
"593","global_trim_vs_local_trim",70,"Class","Misclassification Rate",0
"594","global_trim_vs_local_trim",70,"Class","Over-classification Rate",NA
"595","global_trim_vs_local_trim",70,"Class","Accuracy",100
"596","global_trim_vs_local_trim",70,"Phylum","True Positive Rate",100
"597","global_trim_vs_local_trim",70,"Phylum","Under-classification Rate ",0
"598","global_trim_vs_local_trim",70,"Phylum","Misclassification Rate",0
"599","global_trim_vs_local_trim",70,"Phylum","Over-classification Rate",NA
"600","global_trim_vs_local_trim",70,"Phylum","Accuracy",100
"601","global_trim_vs_local_trim",80,"Species","True Positive Rate",77.3
"602","global_trim_vs_local_trim",80,"Species","Under-classification Rate ",22.2
"603","global_trim_vs_local_trim",80,"Species","Misclassification Rate",0.5
"604","global_trim_vs_local_trim",80,"Species","Over-classification Rate",NA
"605","global_trim_vs_local_trim",80,"Species","Accuracy",77.3
"606","global_trim_vs_local_trim",80,"Genus","True Positive Rate",93.3
"607","global_trim_vs_local_trim",80,"Genus","Under-classification Rate ",6.6
"608","global_trim_vs_local_trim",80,"Genus","Misclassification Rate",0.1
"609","global_trim_vs_local_trim",80,"Genus","Over-classification Rate",NA
"610","global_trim_vs_local_trim",80,"Genus","Accuracy",93.3
"611","global_trim_vs_local_trim",80,"Family","True Positive Rate",99.6
"612","global_trim_vs_local_trim",80,"Family","Under-classification Rate ",0.4
"613","global_trim_vs_local_trim",80,"Family","Misclassification Rate",0
"614","global_trim_vs_local_trim",80,"Family","Over-classification Rate",NA
"615","global_trim_vs_local_trim",80,"Family","Accuracy",99.6
"616","global_trim_vs_local_trim",80,"Order","True Positive Rate",99.8
"617","global_trim_vs_local_trim",80,"Order","Under-classification Rate ",0.2
"618","global_trim_vs_local_trim",80,"Order","Misclassification Rate",0
"619","global_trim_vs_local_trim",80,"Order","Over-classification Rate",NA
"620","global_trim_vs_local_trim",80,"Order","Accuracy",99.8
"621","global_trim_vs_local_trim",80,"Class","True Positive Rate",100
"622","global_trim_vs_local_trim",80,"Class","Under-classification Rate ",0
"623","global_trim_vs_local_trim",80,"Class","Misclassification Rate",0
"624","global_trim_vs_local_trim",80,"Class","Over-classification Rate",NA
"625","global_trim_vs_local_trim",80,"Class","Accuracy",100
"626","global_trim_vs_local_trim",80,"Phylum","True Positive Rate",100
"627","global_trim_vs_local_trim",80,"Phylum","Under-classification Rate ",0
"628","global_trim_vs_local_trim",80,"Phylum","Misclassification Rate",0
"629","global_trim_vs_local_trim",80,"Phylum","Over-classification Rate",NA
"630","global_trim_vs_local_trim",80,"Phylum","Accuracy",100
"631","global_trim_vs_local_trim",90,"Species","True Positive Rate",70.2
"632","global_trim_vs_local_trim",90,"Species","Under-classification Rate ",29.3
"633","global_trim_vs_local_trim",90,"Species","Misclassification Rate",0.4
"634","global_trim_vs_local_trim",90,"Species","Over-classification Rate",NA
"635","global_trim_vs_local_trim",90,"Species","Accuracy",70.2
"636","global_trim_vs_local_trim",90,"Genus","True Positive Rate",89.7
"637","global_trim_vs_local_trim",90,"Genus","Under-classification Rate ",10.2
"638","global_trim_vs_local_trim",90,"Genus","Misclassification Rate",0
"639","global_trim_vs_local_trim",90,"Genus","Over-classification Rate",NA
"640","global_trim_vs_local_trim",90,"Genus","Accuracy",89.7
"641","global_trim_vs_local_trim",90,"Family","True Positive Rate",98.7
"642","global_trim_vs_local_trim",90,"Family","Under-classification Rate ",1.3
"643","global_trim_vs_local_trim",90,"Family","Misclassification Rate",0
"644","global_trim_vs_local_trim",90,"Family","Over-classification Rate",NA
"645","global_trim_vs_local_trim",90,"Family","Accuracy",98.7
"646","global_trim_vs_local_trim",90,"Order","True Positive Rate",99.4
"647","global_trim_vs_local_trim",90,"Order","Under-classification Rate ",0.6
"648","global_trim_vs_local_trim",90,"Order","Misclassification Rate",0
"649","global_trim_vs_local_trim",90,"Order","Over-classification Rate",NA
"650","global_trim_vs_local_trim",90,"Order","Accuracy",99.4
"651","global_trim_vs_local_trim",90,"Class","True Positive Rate",99.9
"652","global_trim_vs_local_trim",90,"Class","Under-classification Rate ",0.1
"653","global_trim_vs_local_trim",90,"Class","Misclassification Rate",0
"654","global_trim_vs_local_trim",90,"Class","Over-classification Rate",NA
"655","global_trim_vs_local_trim",90,"Class","Accuracy",99.9
"656","global_trim_vs_local_trim",90,"Phylum","True Positive Rate",100
"657","global_trim_vs_local_trim",90,"Phylum","Under-classification Rate ",0
"658","global_trim_vs_local_trim",90,"Phylum","Misclassification Rate",0
"659","global_trim_vs_local_trim",90,"Phylum","Over-classification Rate",NA
"660","global_trim_vs_local_trim",90,"Phylum","Accuracy",100
"661","global_trim_vs_local_trim",95,"Species","True Positive Rate",64
"662","global_trim_vs_local_trim",95,"Species","Under-classification Rate ",35.8
"663","global_trim_vs_local_trim",95,"Species","Misclassification Rate",0.1
"664","global_trim_vs_local_trim",95,"Species","Over-classification Rate",NA
"665","global_trim_vs_local_trim",95,"Species","Accuracy",64
"666","global_trim_vs_local_trim",95,"Genus","True Positive Rate",86.9
"667","global_trim_vs_local_trim",95,"Genus","Under-classification Rate ",13.1
"668","global_trim_vs_local_trim",95,"Genus","Misclassification Rate",0
"669","global_trim_vs_local_trim",95,"Genus","Over-classification Rate",NA
"670","global_trim_vs_local_trim",95,"Genus","Accuracy",86.9
"671","global_trim_vs_local_trim",95,"Family","True Positive Rate",98.3
"672","global_trim_vs_local_trim",95,"Family","Under-classification Rate ",1.7
"673","global_trim_vs_local_trim",95,"Family","Misclassification Rate",0
"674","global_trim_vs_local_trim",95,"Family","Over-classification Rate",NA
"675","global_trim_vs_local_trim",95,"Family","Accuracy",98.3
"676","global_trim_vs_local_trim",95,"Order","True Positive Rate",99.4
"677","global_trim_vs_local_trim",95,"Order","Under-classification Rate ",0.6
"678","global_trim_vs_local_trim",95,"Order","Misclassification Rate",0
"679","global_trim_vs_local_trim",95,"Order","Over-classification Rate",NA
"680","global_trim_vs_local_trim",95,"Order","Accuracy",99.4
"681","global_trim_vs_local_trim",95,"Class","True Positive Rate",99.9
"682","global_trim_vs_local_trim",95,"Class","Under-classification Rate ",0.1
"683","global_trim_vs_local_trim",95,"Class","Misclassification Rate",0
"684","global_trim_vs_local_trim",95,"Class","Over-classification Rate",NA
"685","global_trim_vs_local_trim",95,"Class","Accuracy",99.9
"686","global_trim_vs_local_trim",95,"Phylum","True Positive Rate",100
"687","global_trim_vs_local_trim",95,"Phylum","Under-classification Rate ",0
"688","global_trim_vs_local_trim",95,"Phylum","Misclassification Rate",0
"689","global_trim_vs_local_trim",95,"Phylum","Over-classification Rate",NA
"690","global_trim_vs_local_trim",95,"Phylum","Accuracy",100
"691","global_trim_vs_local_trim",100,"Species","True Positive Rate",51.3
"692","global_trim_vs_local_trim",100,"Species","Under-classification Rate ",48.7
"693","global_trim_vs_local_trim",100,"Species","Misclassification Rate",0
"694","global_trim_vs_local_trim",100,"Species","Over-classification Rate",NA
"695","global_trim_vs_local_trim",100,"Species","Accuracy",51.3
"696","global_trim_vs_local_trim",100,"Genus","True Positive Rate",74.2
"697","global_trim_vs_local_trim",100,"Genus","Under-classification Rate ",25.8
"698","global_trim_vs_local_trim",100,"Genus","Misclassification Rate",0
"699","global_trim_vs_local_trim",100,"Genus","Over-classification Rate",NA
"700","global_trim_vs_local_trim",100,"Genus","Accuracy",74.2
"701","global_trim_vs_local_trim",100,"Family","True Positive Rate",93.5
"702","global_trim_vs_local_trim",100,"Family","Under-classification Rate ",6.5
"703","global_trim_vs_local_trim",100,"Family","Misclassification Rate",0
"704","global_trim_vs_local_trim",100,"Family","Over-classification Rate",NA
"705","global_trim_vs_local_trim",100,"Family","Accuracy",93.5
"706","global_trim_vs_local_trim",100,"Order","True Positive Rate",97.6
"707","global_trim_vs_local_trim",100,"Order","Under-classification Rate ",2.4
"708","global_trim_vs_local_trim",100,"Order","Misclassification Rate",0
"709","global_trim_vs_local_trim",100,"Order","Over-classification Rate",NA
"710","global_trim_vs_local_trim",100,"Order","Accuracy",97.6
"711","global_trim_vs_local_trim",100,"Class","True Positive Rate",99.9
"712","global_trim_vs_local_trim",100,"Class","Under-classification Rate ",0.1
"713","global_trim_vs_local_trim",100,"Class","Misclassification Rate",0
"714","global_trim_vs_local_trim",100,"Class","Over-classification Rate",NA
"715","global_trim_vs_local_trim",100,"Class","Accuracy",99.9
"716","global_trim_vs_local_trim",100,"Phylum","True Positive Rate",100
"717","global_trim_vs_local_trim",100,"Phylum","Under-classification Rate ",0
"718","global_trim_vs_local_trim",100,"Phylum","Misclassification Rate",0
"719","global_trim_vs_local_trim",100,"Phylum","Over-classification Rate",NA
"720","global_trim_vs_local_trim",100,"Phylum","Accuracy",100
