Number	Species	Barcoded in This Study	GenBank	FishCARD
271	Fowlerichthys avalonis	Yes	No	Yes
272	Fundulus parvipinnis	Yes	No	Yes
273	Gadus chalcogrammus	Yes	Yes	Yes
274	Gadus macrocephalus	Yes	Yes	Yes
275	Galeocerdo cuvier	Yes	Yes	Yes
276	Galeorhinus galeus	Yes	No	Yes
277	Gambusia affinis	No	Yes	Yes
278	Gasterosteus aculeatus	Yes	Yes	Yes
279	Gempylus serpens	No	Yes	Yes
280	Genyonemus lineatus	Yes	Yes	Yes
281	Gibbonsia elegans	Yes	No	Yes
282	Gibbonsia metzi	Yes	Yes	Yes
283	Gibbonsia montereyensis	Yes	Yes	Yes
284	Gigantactis vanhoeffeni	Yes	Yes	Yes
285	Gillichthys mirabilis	Yes	Yes	Yes
286	Girella nigricans	Yes	Yes	Yes
287	Glyptocephalus zachirus	Yes	Yes	Yes
288	Gnathophis cinctus	No	No	No
289	Gobiesox eugrammus	No	No	No
290	Gobiesox maeandricus	Yes	Yes	Yes
291	Gobiesox papillifer	No	No	No
292	Gobiesox rhessodon	Yes	No	Yes
293	Gonichthys tenuiculus	Yes	No	Yes
294	Gonostoma atlanticum	No	No	No
295	Grammonus diagrammus	No	No	No
296	Gymnothorax mordax	Yes	No	Yes
297	Gymnura marmorata	Yes	No	Yes
298	Haemulon flaviguttatum	Yes	No	Yes
299	Haemulopsis axillaris	No	No	No
300	Halargyreus johnsonii	Yes	Yes	Yes
301	Halichoeres semicinctus	Yes	Yes	Yes
302	Harengula thrissina	Yes	No	Yes
303	Harriotta raleighana	No	Yes	Yes
304	Hemanthias signifer	Yes	No	Yes
305	Hemilepidotus hemilepidotus	Yes	Yes	Yes
306	Hemilepidotus spinosus	Yes	Yes	Yes
307	Hemiramphus saltator	Yes	No	Yes
308	Hemitripterus bolini	No	Yes	Yes
309	Hermosilla azurea	Yes	Yes	Yes
310	Heterodontus francisci	Yes	Yes	Yes
311	Heteropriacanthus carolinus	No	No	No
312	Heterostichus rostratus	Yes	Yes	Yes
313	Hexagrammos decagrammus	Yes	Yes	Yes
314	Hexagrammos lagocephalus	Yes	Yes	Yes
315	Hexagrammos stelleri	Yes	Yes	Yes
316	Hexanchus griseus	Yes	Yes	Yes
317	Himantolophus nigricornis	No	No	No
318	Himantolophus sagamius	Yes	No	Yes
319	Hippocampus ingens	Yes	Yes	Yes
320	Hippoglossina stomata	Yes	Yes	Yes
321	Hippoglossoides elassodon	Yes	Yes	Yes
322	Hippoglossus stenolepis	Yes	Yes	Yes
323	Hirundichthys rondeletii	Yes	Yes	Yes
324	Holtbyrnia latifrons	Yes	No	Yes
325	Howella brodiei	No	Yes	Yes
326	Howella pammelas	No	No	No
327	Howella sherborni	No	No	No
328	Hydrolagus colliei	Yes	Yes	Yes
329	Hydrolagus melanophasma	No	No	No
330	Hygophum atratum	Yes	No	Yes
331	Hygophum proximum	Yes	Yes	Yes
332	Hygophum reinhardtii	No	Yes	Yes
333	Hypanus dipterurus	Yes	No	Yes
334	Hyperprosopon anale	Yes	Yes	Yes
335	Hyperprosopon argenteum	Yes	Yes	Yes
336	Hyperprosopon ellipticum	Yes	Yes	Yes
337	Hypomesus nipponensis	No	Yes	Yes
338	Hypomesus pretiosus	Yes	Yes	Yes
339	Hypomesus transpacificus	No	No	No
340	Hyporhamphus naos	Yes	No	Yes
341	Hyporhamphus rosae	No	No	No
342	Hyporthodus acanthistius	Yes	No	Yes
343	Hyporthodus niphobles	Yes	No	Yes
344	Hypsoblennius gentilis	Yes	Yes	Yes
345	Hypsoblennius gilberti	Yes	No	Yes
346	Hypsoblennius jenkinsi	Yes	No	Yes
347	Hypsopsetta guttulata	Yes	Yes	Yes
348	Hypsurus caryi	Yes	No	Yes
349	Hypsypops rubicundus	Yes	Yes	Yes
350	Icelinus burchami	Yes	Yes	Yes
351	Icelinus cavifrons	Yes	No	Yes
352	Icelinus filamentosus	Yes	Yes	Yes
353	Icelinus fimbriatus	Yes	Yes	Yes
354	Icelinus limbaughi	No	No	No
355	Icelinus oculatus	Yes	No	Yes
356	Icelinus quadriseriatus	Yes	No	Yes
357	Icelinus tenuis	Yes	No	Yes
358	Ichthyococcus irregularis	Yes	No	Yes
359	Icichthys lockingtoni	Yes	Yes	Yes
360	Icosteus aenigmaticus	Yes	Yes	Yes
361	Idiacanthus antrostomus	Yes	Yes	Yes
362	Ilypnus gilberti	No	No	No
363	Isistius brasiliensis	No	Yes	Yes
364	Isopsetta isolepis	Yes	Yes	Yes
365	Istiompax indica	No	Yes	Yes
366	Istiophorus platypterus	Yes	Yes	Yes
367	Isurus oxyrinchus	Yes	Yes	Yes
368	Isurus paucus	No	Yes	Yes
369	Jordania zonope	No	Yes	Yes
370	Kajikia audax	Yes	Yes	Yes
371	Kali kerberti	Yes	No	Yes
372	Kasatkia seigeli	Yes	No	Yes
373	Kathetostoma averruncus	No	No	No
374	Katsuwonus pelamis	Yes	Yes	Yes
375	Kyphosus analogus	No	Yes	Yes
376	Kyphosus vaigiensis	No	Yes	Yes
377	Labrisomus xanti	Yes	Yes	Yes
378	Lactoria diaphana	Yes	Yes	Yes
379	Lagocephalus lagocephalus	Yes	Yes	Yes
380	Lamna ditropis	Yes	Yes	Yes
381	Lampadena urophaos	Yes	Yes	Yes
382	Lampanyctus acanthurus	No	No	No
383	Lampanyctus festivus	Yes	No	Yes
384	Lampanyctus omostigma	No	No	No
385	Lampanyctus parvicauda	Yes	No	Yes
386	Lampanyctus steinbecki	No	No	No
387	Lampanyctus tenuiformis	Yes	Yes	Yes
388	Lampetra ayresii	No	Yes	Yes
389	Lampetra tridentata	Yes	Yes	Yes
390	Lampris guttatus	Yes	Yes	Yes
391	Lampris incognitus	No	No	No
392	Lampris megalopsis	No	No	No
393	Lamprogrammus niger	No	Yes	Yes
394	Leiocottus hirundo	Yes	No	Yes
395	Lepidocybium flavobrunneum	Yes	Yes	Yes
396	Lepidogobius lepidus	Yes	Yes	Yes
397	Lepidopsetta bilineata	Yes	Yes	Yes
398	Lepidopus fitchi	Yes	No	Yes
399	Leptocephalus giganteus	No	No	No
400	Leptocephalus holti	No	No	No
401	Leptocottus armatus	Yes	Yes	Yes
402	Lestidiops pacificus	Yes	No	Yes
403	Lestidiops ringens	Yes	No	Yes
404	Lethops connectens	Yes	No	Yes
405	Leuresthes tenuis	Yes	Yes	Yes
406	Leuroglossus stilbius	Yes	No	Yes
407	Liparis adiastolus	No	No	No
408	Liparis florae	Yes	Yes	Yes
409	Liparis fucensis	Yes	Yes	Yes
410	Liparis mucosus	Yes	Yes	Yes
411	Liparis pulchellus	Yes	Yes	Yes
412	Lipariscus nanus	Yes	Yes	Yes
413	Lipolagus ochotensis	Yes	Yes	Yes
414	Lobianchia gemellarii	Yes	Yes	Yes
415	Lobotes pacificus	Yes	No	Yes
416	Lophiodes caulinaris	Yes	Yes	Yes
417	Lophiodes spilurus	Yes	No	Yes
418	Lophodolos acanthognathus	Yes	Yes	Yes
419	Lophotus capellei	Yes	Yes	Yes
420	Lophotus lacepede	Yes	No	Yes
421	Loweina rara	Yes	No	Yes
422	Lucania goodei	No	No	No
423	Lucania parva	No	No	No
424	Lumpenopsis clitella	No	No	No
425	Lumpenus sagitta	Yes	Yes	Yes
426	Lutjanus argentiventris	Yes	No	Yes
427	Lutjanus colorado	Yes	No	Yes
428	Lutjanus guttatus	No	Yes	Yes
429	Lutjanus novemfasciatus	Yes	No	Yes
430	Lutjanus peru	Yes	Yes	Yes
431	Luvarus imperialis	Yes	Yes	Yes
432	Lycenchelys camchatica	Yes	No	Yes
433	Lycenchelys crotalinus	Yes	No	Yes
434	Lycodapus dermatinus	No	No	No
435	Lycodapus endemoscotus	No	No	No
436	Lycodapus fierasfer	Yes	No	Yes
437	Lycodapus mandibularis	Yes	Yes	Yes
438	Lycodapus psarostomatus	No	No	No
439	Lycodes brevipes	No	Yes	Yes
440	Lycodes cortezianus	Yes	Yes	Yes
441	Lycodes diapterus	Yes	Yes	Yes
442	Lycodopsis pacificus	Yes	Yes	Yes
443	Lyconema barbatum	Yes	No	Yes
444	Lyopsetta exilis	Yes	Yes	Yes
445	Lythrypnus dalli	Yes	No	Yes
446	Lythrypnus zebra	Yes	No	Yes
447	Macroparalepis johnfitchi	Yes	No	Yes
448	Macropinna microstoma	Yes	Yes	Yes
449	Macroramphosus gracilis	Yes	Yes	Yes
450	Macroramphosus scolopax	No	Yes	Yes
451	Magnisudis atlantica	Yes	Yes	Yes
452	Makaira mazara	No	Yes	Yes
453	Makaira nigricans	Yes	Yes	Yes
454	Malacocephalus laevis	No	No	No
455	Masturus lanceolatus	Yes	Yes	Yes
456	Maulisia mauli	Yes	Yes	Yes
457	Medialuna californiensis	Yes	Yes	Yes
458	Megachasma pelagios	Yes	Yes	Yes
459	Melamphaes acanthomus	Yes	No	Yes
460	Melamphaes laeviceps	Yes	No	Yes
461	Melamphaes lugubris	Yes	Yes	Yes
462	Melamphaes parvus	Yes	No	Yes
463	Melamphaes simus	Yes	No	Yes
464	Melamphaes suborbitalis	Yes	No	Yes
465	Melanocetus johnsoni	Yes	Yes	Yes
466	Melanolagus bericoides	No	Yes	Yes
467	Melanonus zugmayeri	Yes	Yes	Yes
468	Melanostigma pammelas	Yes	No	Yes
469	Melichthys niger	Yes	Yes	Yes
470	Menidia audens	No	No	No
471	Menticirrhus undulatus	Yes	No	Yes
472	Merluccius productus	Yes	Yes	Yes
473	Mesobius berryi	No	No	No
474	Microgadus proximus	Yes	Yes	Yes
475	Microlepidotus inornatus	Yes	No	Yes
476	Micrometrus aurora	Yes	No	Yes
477	Micrometrus minimus	Yes	No	Yes
478	Microstoma microstoma	Yes	No	Yes
479	Microstomus pacificus	Yes	Yes	Yes
480	Mirorictus taningi	Yes	No	Yes
481	Mitsukurina owstoni	No	Yes	Yes
482	Mobula birostris	No	Yes	Yes
483	Mobula japanica	Yes	Yes	Yes
484	Mobula mobular	No	Yes	Yes
485	Mobula thurstoni	Yes	Yes	Yes
486	Mola alexandrini	Yes	No	Yes
487	Mola mola	Yes	Yes	Yes
488	Mola tecta	Yes	No	Yes
489	Morone saxatilis	Yes	Yes	Yes
490	Mugil cephalus	Yes	Yes	Yes
491	Mugil curema	Yes	Yes	Yes
492	Mulloidichthys dentatus	Yes	No	Yes
493	Muraena argus	No	No	No
494	Mustelus californicus	Yes	No	Yes
495	Mustelus henlei	Yes	No	Yes
496	Mustelus lunulatus	Yes	No	Yes
497	Mycteroperca jordani	Yes	No	Yes
498	Mycteroperca rosacea	No	No	No
499	Mycteroperca xenarcha	Yes	No	Yes
500	Myctophum aurolaternatum	Yes	Yes	Yes
501	Myctophum lychnobium	Yes	Yes	Yes
502	Myctophum nitidulum	Yes	Yes	Yes
503	Myliobatis californica	Yes	Yes	Yes
504	Myrophis vafer	Yes	Yes	Yes
505	Myxine circifrons	Yes	No	Yes
506	Nannobrachium bristori	Yes	No	Yes
507	Nannobrachium hawaiiensis	Yes	No	Yes
508	Nannobrachium idostigma	No	No	No
509	Nannobrachium regale	Yes	Yes	Yes
510	Nannobrachium ritteri	Yes	Yes	Yes
511	Nansenia candida	Yes	No	Yes
512	Nansenia crassa	No	No	No
513	Naucrates ductor	Yes	Yes	Yes
514	Nautichthys oculofasciatus	Yes	Yes	Yes
515	Nealotus tripes	No	Yes	Yes
516	Nectoliparis pelagicus	Yes	Yes	Yes
517	Nematistius pectoralis	Yes	Yes	Yes
518	Nemichthys larseni	No	No	No
519	Nemichthys scolopaceus	Yes	Yes	Yes
520	Neoclinus blanchardi	Yes	No	Yes
521	Neoclinus stephensae	No	No	No
522	Neoclinus uninotatus	No	No	No
523	Nezumia liolepis	Yes	Yes	Yes
524	Nezumia stelgidolepis	No	No	No
525	Nicholsina denticulata	Yes	No	Yes
526	Nomeus gronovii	Yes	Yes	Yes
527	Notacanthus chemnitzii	No	Yes	Yes
528	Notolychnus valdiviae	Yes	Yes	Yes
529	Notorynchus cepedianus	Yes	Yes	Yes
530	Notoscopelus resplendens	Yes	Yes	Yes
531	Odontaspis ferox	No	Yes	Yes
532	Odontopyxis trispinosa	Yes	Yes	Yes
533	Oligocottus maculosus	Yes	Yes	Yes
534	Oligocottus rimensis	No	No	No
535	Oligocottus rubellio	No	No	No
536	Oligocottus snyderi	Yes	Yes	Yes
537	Oncorhynchus clarkii	No	Yes	Yes
538	Oncorhynchus gorbuscha	Yes	Yes	Yes
539	Oncorhynchus keta	Yes	Yes	Yes
540	Oncorhynchus kisutch	Yes	Yes	Yes
541	Oncorhynchus mykiss	Yes	Yes	Yes
542	Oncorhynchus nerka	Yes	Yes	Yes
543	Oncorhynchus tshawytscha	No	Yes	Yes
544	Oneirodes acanthias	Yes	No	Yes
545	Oneirodes eschrichtii	Yes	No	Yes
546	Oneirodes thompsoni	Yes	Yes	Yes
547	Ophichthus triserialis	Yes	No	Yes
548	Ophichthus zophochir	Yes	Yes	Yes
549	Ophidion scrippsae	Yes	No	Yes
550	Ophioblennius steindachneri	No	Yes	Yes
551	Ophiodon elongatus	Yes	Yes	Yes
552	Opisthonema libertate	Yes	No	Yes
553	Opisthonema medirastre	Yes	No	Yes
554	Opistognathidae	No	No	No
555	Oplegnathus fasciatus	No	Yes	Yes
556	Opostomias mitsuii	Yes	Yes	Yes
557	Oreochromis mossambicus	No	Yes	Yes
558	Orthonopias triacis	Yes	Yes	Yes
559	Oxyjulis californica	Yes	Yes	Yes
560	Oxylebius pictus	Yes	Yes	Yes
561	Pallasina barbata	No	Yes	Yes
562	Paracaristius nudarcus	No	No	No
563	Paraclinus integripinnis	Yes	Yes	Yes
564	Paralabrax auroguttatus	Yes	No	Yes
565	Paralabrax clathratus	Yes	No	Yes
566	Paralabrax maculatofasciatus	Yes	No	Yes
567	Paralabrax nebulifer	Yes	No	Yes
568	Paralichthys californicus	Yes	No	Yes
569	Paraliparis albescens	No	No	No
570	Paraliparis cephalus	No	Yes	Yes
571	Paraliparis dactylosus	No	No	No
572	Paraliparis deani	No	No	No
573	Paraliparis pectoralis	Yes	No	Yes
574	Paranthias colonus	Yes	No	Yes
575	Paricelinus hopliticus	No	No	No
576	Parmaturus xaniurus	Yes	No	Yes
577	Parophrys vetulus	Yes	Yes	Yes
578	Parvilux ingens	Yes	No	Yes
579	Peprilus simillimus	Yes	No	Yes
580	Perissias taeniopterus	No	No	No
581	Phanerodon atripes	Yes	No	Yes
582	Phanerodon furcatus	Yes	No	Yes
583	Pholis clemensi	Yes	Yes	Yes
584	Pholis laeta	Yes	Yes	Yes
585	Pholis ornata	Yes	Yes	Yes
586	Pholis schultzi	No	No	No
587	Photonectes margarita	Yes	Yes	Yes
588	Phtheirichthys lineatus	Yes	Yes	Yes
589	Physiculus rastrelliger	Yes	No	Yes
590	Phytichthys chirus	No	Yes	Yes
591	Plagiogrammus hopkinsii	No	No	No
592	Plagiotremus azaleus	Yes	No	Yes
593	Platichthys stellatus	Yes	Yes	Yes
594	Platyberyx andriashevi	No	No	No
595	Platyrhinoidis triseriata	Yes	No	Yes
596	Plectobranchus evides	Yes	Yes	Yes
597	Pleurogrammus monopterygius	Yes	Yes	Yes
598	Pleuronichthys coenosus	Yes	Yes	Yes
599	Pleuronichthys decurrens	Yes	Yes	Yes
