all_seq_number	fishcard_12S_all_LSC.B.1.S22.L001	fishcard_12S_all_PP.B.1.S4.L001	fishcard_12S_all_PedRF.B.1.S13.L001	sum taxonomy
forward_fishcard_12S_all_677	1	0	0	
forward_fishcard_12S_all_678	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_fishcard_12S_all_679	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_fishcard_12S_all_680	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_fishcard_12S_all_681	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_fishcard_12S_all_682	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_fishcard_12S_all_683	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_fishcard_12S_all_684	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_fishcard_12S_all_685	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes;Balistes polylepis
forward_fishcard_12S_all_686	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_fishcard_12S_all_687	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_fishcard_12S_all_688	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_fishcard_12S_all_689	1	0	0	Eukaryota;Chordata;Actinopteri;Scombriformes;Centrolophidae;Icichthys;Icichthys lockingtoni
forward_fishcard_12S_all_690	1	0	0	Eukaryota;Chordata;Actinopteri;Scombriformes;Centrolophidae;Icichthys;Icichthys lockingtoni
forward_fishcard_12S_all_691	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_692	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_693	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_694	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_695	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_696	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_697	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_698	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_699	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_700	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_701	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_702	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_703	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_704	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_705	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_706	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_707	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_708	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_709	1	0	0	
forward_fishcard_12S_all_710	1	0	0	
forward_fishcard_12S_all_711	1	0	0	
forward_fishcard_12S_all_712	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_713	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_714	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_715	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_716	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_717	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_718	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_719	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_720	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_721	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_722	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes;Balistes polylepis
forward_fishcard_12S_all_723	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes;Balistes polylepis
forward_fishcard_12S_all_724	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes;Balistes polylepis
forward_fishcard_12S_all_725	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes;Balistes polylepis
forward_fishcard_12S_all_726	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes;Balistes polylepis
forward_fishcard_12S_all_727	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes;Balistes polylepis
forward_fishcard_12S_all_728	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_729	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_730	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_731	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_732	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_733	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_734	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_735	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_736	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_737	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_738	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_739	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_740	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_741	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_742	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_743	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_744	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_745	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_746	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_747	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_748	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_749	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_750	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_751	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_752	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_753	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_754	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_755	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_756	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_757	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_758	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_759	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_760	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_761	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_762	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_763	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_764	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_765	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_766	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_767	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_768	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_769	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_770	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_771	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_772	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_773	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_774	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_775	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_776	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_777	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_778	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_779	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_780	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_781	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_782	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_783	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_784	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_785	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_786	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_787	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_788	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_789	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_790	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_791	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_792	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_793	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_794	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_795	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_796	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_797	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_798	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_799	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_800	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_801	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_802	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_803	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_804	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_805	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_806	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_807	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_808	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_809	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_810	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_811	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_fishcard_12S_all_812	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_813	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_814	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_815	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_816	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_817	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_818	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_819	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_820	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_821	1	0	0	
forward_fishcard_12S_all_822	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_823	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_824	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_825	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_826	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_827	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_828	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_829	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_830	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_831	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_832	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_833	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_834	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_835	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_836	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_837	1	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_838	1	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_839	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_840	1	0	0	
forward_fishcard_12S_all_841	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_842	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_843	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_844	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_845	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_846	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_847	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_848	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_849	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_850	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_851	1	0	0	
forward_fishcard_12S_all_852	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_853	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_854	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_855	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_856	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_857	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_858	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_859	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_860	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_861	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_862	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_863	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_864	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_865	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_866	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_867	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_868	1	0	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_869	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_fishcard_12S_all_870	1	0	0	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica
forward_fishcard_12S_all_871	1	0	0	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica
forward_fishcard_12S_all_872	1	0	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;Phanerodon atripes
forward_fishcard_12S_all_873	1	0	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca
forward_fishcard_12S_all_874	1	0	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca
forward_fishcard_12S_all_875	1	0	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca
forward_fishcard_12S_all_876	1	0	0	
forward_fishcard_12S_all_877	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_fishcard_12S_all_878	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_fishcard_12S_all_879	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_fishcard_12S_all_880	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_fishcard_12S_all_881	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_fishcard_12S_all_882	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_fishcard_12S_all_883	1	0	0	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_fishcard_12S_all_884	1	0	0	Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax
