Oct2019_seq_number	X12S_Oct2019_LSC.B.1.S22.L001	X12S_Oct2019_PP.B.1.S4.L001	X12S_Oct2019_PedRF.B.1.S13.L001	sum taxonomy
forward_12S_Oct2019_51	0	0	4	Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax unicolor
forward_12S_Oct2019_52	0	0	4	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;;
forward_12S_Oct2019_53	3	0	0	
forward_12S_Oct2019_54	3	0	0	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_12S_Oct2019_55	2	0	1	
forward_12S_Oct2019_56	2	0	1	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_57	2	1	0	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_12S_Oct2019_58	1	2	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_59	1	0	2	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_60	1	2	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_12S_Oct2019_61	1	0	2	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis;Chromis punctipinnis
forward_12S_Oct2019_62	1	0	2	Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena helleri
forward_12S_Oct2019_63	0	3	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_Oct2019_64	0	3	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;;;
forward_12S_Oct2019_65	0	3	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_66	0	2	1	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_Oct2019_67	0	2	1	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_Oct2019_68	0	0	3	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_69	0	0	3	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_12S_Oct2019_70	2	0	0	
forward_12S_Oct2019_71	2	0	0	
forward_12S_Oct2019_72	2	0	0	
forward_12S_Oct2019_73	2	0	0	
forward_12S_Oct2019_74	2	0	0	
forward_12S_Oct2019_75	2	0	0	
forward_12S_Oct2019_76	2	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_77	2	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_78	2	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_79	2	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_80	2	0	0	
forward_12S_Oct2019_81	2	0	0	
forward_12S_Oct2019_82	2	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_83	2	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_84	2	0	0	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_12S_Oct2019_85	2	0	0	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_12S_Oct2019_86	2	0	0	Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax unicolor
forward_12S_Oct2019_87	1	0	1	
forward_12S_Oct2019_88	1	1	0	
forward_12S_Oct2019_89	1	1	0	
forward_12S_Oct2019_90	1	1	0	
forward_12S_Oct2019_91	1	0	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_92	1	0	1	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_93	1	1	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_94	1	1	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_95	1	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_96	1	1	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_12S_Oct2019_97	1	1	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_12S_Oct2019_98	1	0	1	Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena helleri
forward_12S_Oct2019_99	0	2	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_100	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_Oct2019_101	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_Oct2019_102	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_Oct2019_103	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_Oct2019_104	0	2	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_105	0	2	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_106	0	2	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_107	0	2	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_108	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_109	0	2	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_12S_Oct2019_110	0	2	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus
forward_12S_Oct2019_111	0	1	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_12S_Oct2019_112	0	1	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_12S_Oct2019_113	0	1	1	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;;
forward_12S_Oct2019_114	0	0	2	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_12S_Oct2019_115	0	0	2	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_116	0	0	2	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Oplegnathidae;Oplegnathus;Oplegnathus woodwardi
forward_12S_Oct2019_117	0	0	2	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_118	0	0	2	Eukaryota;Chordata;Actinopteri;Blenniiformes;;;
forward_12S_Oct2019_119	0	0	2	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;;
forward_12S_Oct2019_120	0	0	2	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_12S_Oct2019_121	0	0	2	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca
forward_12S_Oct2019_122	0	0	2	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_12S_Oct2019_123	0	0	2	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_12S_Oct2019_124	1	0	0	
forward_12S_Oct2019_125	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_126	1	0	0	
forward_12S_Oct2019_127	1	0	0	
forward_12S_Oct2019_128	1	0	0	
forward_12S_Oct2019_129	1	0	0	
forward_12S_Oct2019_130	1	0	0	
forward_12S_Oct2019_131	1	0	0	
forward_12S_Oct2019_132	1	0	0	
forward_12S_Oct2019_133	1	0	0	
forward_12S_Oct2019_134	1	0	0	
forward_12S_Oct2019_135	1	0	0	
forward_12S_Oct2019_136	1	0	0	
forward_12S_Oct2019_137	1	0	0	
forward_12S_Oct2019_138	1	0	0	
forward_12S_Oct2019_139	1	0	0	
forward_12S_Oct2019_140	1	0	0	
forward_12S_Oct2019_141	1	0	0	
forward_12S_Oct2019_142	1	0	0	
forward_12S_Oct2019_143	1	0	0	
forward_12S_Oct2019_144	1	0	0	
forward_12S_Oct2019_145	1	0	0	
forward_12S_Oct2019_146	1	0	0	
forward_12S_Oct2019_147	1	0	0	
forward_12S_Oct2019_148	1	0	0	
forward_12S_Oct2019_149	1	0	0	
forward_12S_Oct2019_150	1	0	0	
forward_12S_Oct2019_151	1	0	0	
forward_12S_Oct2019_152	1	0	0	
forward_12S_Oct2019_153	1	0	0	
forward_12S_Oct2019_154	1	0	0	
forward_12S_Oct2019_155	1	0	0	
forward_12S_Oct2019_156	1	0	0	
forward_12S_Oct2019_157	1	0	0	
forward_12S_Oct2019_158	1	0	0	
forward_12S_Oct2019_159	1	0	0	
forward_12S_Oct2019_160	1	0	0	
forward_12S_Oct2019_161	1	0	0	
forward_12S_Oct2019_162	1	0	0	
forward_12S_Oct2019_163	1	0	0	
forward_12S_Oct2019_164	1	0	0	
forward_12S_Oct2019_165	1	0	0	
forward_12S_Oct2019_166	1	0	0	
forward_12S_Oct2019_167	1	0	0	
forward_12S_Oct2019_168	1	0	0	
forward_12S_Oct2019_169	1	0	0	
forward_12S_Oct2019_170	1	0	0	
forward_12S_Oct2019_171	1	0	0	
forward_12S_Oct2019_172	1	0	0	
forward_12S_Oct2019_173	1	0	0	
forward_12S_Oct2019_174	1	0	0	
forward_12S_Oct2019_175	1	0	0	
forward_12S_Oct2019_176	1	0	0	
forward_12S_Oct2019_177	1	0	0	
forward_12S_Oct2019_178	1	0	0	
forward_12S_Oct2019_179	1	0	0	
forward_12S_Oct2019_180	1	0	0	
forward_12S_Oct2019_181	1	0	0	
forward_12S_Oct2019_182	1	0	0	
forward_12S_Oct2019_183	1	0	0	
forward_12S_Oct2019_184	1	0	0	
forward_12S_Oct2019_185	1	0	0	
forward_12S_Oct2019_186	1	0	0	
forward_12S_Oct2019_187	1	0	0	
forward_12S_Oct2019_188	1	0	0	
forward_12S_Oct2019_189	1	0	0	
forward_12S_Oct2019_190	1	0	0	
forward_12S_Oct2019_191	1	0	0	
forward_12S_Oct2019_192	1	0	0	
forward_12S_Oct2019_193	1	0	0	
forward_12S_Oct2019_194	1	0	0	
forward_12S_Oct2019_195	1	0	0	
forward_12S_Oct2019_196	1	0	0	
forward_12S_Oct2019_197	1	0	0	
forward_12S_Oct2019_198	1	0	0	
forward_12S_Oct2019_199	1	0	0	
forward_12S_Oct2019_200	1	0	0	
forward_12S_Oct2019_201	1	0	0	
forward_12S_Oct2019_202	1	0	0	
forward_12S_Oct2019_203	1	0	0	
forward_12S_Oct2019_204	1	0	0	
forward_12S_Oct2019_205	1	0	0	
forward_12S_Oct2019_206	1	0	0	
forward_12S_Oct2019_207	1	0	0	
forward_12S_Oct2019_208	1	0	0	
forward_12S_Oct2019_209	1	0	0	
forward_12S_Oct2019_210	1	0	0	
forward_12S_Oct2019_211	1	0	0	
forward_12S_Oct2019_212	1	0	0	
forward_12S_Oct2019_213	1	0	0	
forward_12S_Oct2019_214	1	0	0	
forward_12S_Oct2019_215	1	0	0	
forward_12S_Oct2019_216	1	0	0	
forward_12S_Oct2019_217	1	0	0	
forward_12S_Oct2019_218	1	0	0	
forward_12S_Oct2019_219	1	0	0	
forward_12S_Oct2019_220	1	0	0	
forward_12S_Oct2019_221	1	0	0	
forward_12S_Oct2019_222	1	0	0	
forward_12S_Oct2019_223	1	0	0	
forward_12S_Oct2019_224	1	0	0	
forward_12S_Oct2019_225	1	0	0	
forward_12S_Oct2019_226	1	0	0	
forward_12S_Oct2019_227	1	0	0	
forward_12S_Oct2019_228	1	0	0	
forward_12S_Oct2019_229	1	0	0	
forward_12S_Oct2019_230	1	0	0	
forward_12S_Oct2019_231	1	0	0	
forward_12S_Oct2019_232	1	0	0	
forward_12S_Oct2019_233	1	0	0	
forward_12S_Oct2019_234	1	0	0	
forward_12S_Oct2019_235	1	0	0	
forward_12S_Oct2019_236	1	0	0	
forward_12S_Oct2019_237	1	0	0	
forward_12S_Oct2019_238	1	0	0	
forward_12S_Oct2019_239	1	0	0	
forward_12S_Oct2019_240	1	0	0	
forward_12S_Oct2019_241	1	0	0	
forward_12S_Oct2019_242	1	0	0	
forward_12S_Oct2019_243	1	0	0	
forward_12S_Oct2019_244	1	0	0	
forward_12S_Oct2019_245	1	0	0	
forward_12S_Oct2019_246	1	0	0	
forward_12S_Oct2019_247	1	0	0	
forward_12S_Oct2019_248	1	0	0	
forward_12S_Oct2019_249	1	0	0	
forward_12S_Oct2019_250	1	0	0	
forward_12S_Oct2019_251	1	0	0	
forward_12S_Oct2019_252	1	0	0	
forward_12S_Oct2019_253	1	0	0	
forward_12S_Oct2019_254	1	0	0	
forward_12S_Oct2019_255	1	0	0	
forward_12S_Oct2019_256	1	0	0	
forward_12S_Oct2019_257	1	0	0	
forward_12S_Oct2019_258	1	0	0	
forward_12S_Oct2019_259	1	0	0	
forward_12S_Oct2019_260	1	0	0	
forward_12S_Oct2019_261	1	0	0	
forward_12S_Oct2019_262	1	0	0	
forward_12S_Oct2019_263	1	0	0	
forward_12S_Oct2019_264	1	0	0	
forward_12S_Oct2019_265	1	0	0	
forward_12S_Oct2019_266	1	0	0	
forward_12S_Oct2019_267	1	0	0	
forward_12S_Oct2019_268	1	0	0	
forward_12S_Oct2019_269	1	0	0	
forward_12S_Oct2019_270	1	0	0	
forward_12S_Oct2019_271	1	0	0	
forward_12S_Oct2019_272	1	0	0	
forward_12S_Oct2019_273	1	0	0	
forward_12S_Oct2019_274	1	0	0	
