Oct2019_seq_number	X12S_Oct2019_LSC.B.1.S22.L001	X12S_Oct2019_PP.B.1.S4.L001	X12S_Oct2019_PedRF.B.1.S13.L001	sum taxonomy
forward_12S_Oct2019_436	1	0	0	
forward_12S_Oct2019_437	1	0	0	
forward_12S_Oct2019_438	1	0	0	
forward_12S_Oct2019_439	1	0	0	
forward_12S_Oct2019_440	1	0	0	
forward_12S_Oct2019_441	1	0	0	
forward_12S_Oct2019_442	1	0	0	
forward_12S_Oct2019_443	1	0	0	
forward_12S_Oct2019_444	1	0	0	
forward_12S_Oct2019_445	1	0	0	
forward_12S_Oct2019_446	1	0	0	
forward_12S_Oct2019_447	1	0	0	
forward_12S_Oct2019_448	1	0	0	
forward_12S_Oct2019_449	1	0	0	
forward_12S_Oct2019_450	1	0	0	
forward_12S_Oct2019_451	1	0	0	
forward_12S_Oct2019_452	1	0	0	
forward_12S_Oct2019_453	1	0	0	
forward_12S_Oct2019_454	1	0	0	
forward_12S_Oct2019_455	1	0	0	
forward_12S_Oct2019_456	1	0	0	
forward_12S_Oct2019_457	1	0	0	
forward_12S_Oct2019_458	1	0	0	
forward_12S_Oct2019_459	1	0	0	
forward_12S_Oct2019_460	1	0	0	
forward_12S_Oct2019_461	1	0	0	
forward_12S_Oct2019_462	1	0	0	
forward_12S_Oct2019_463	1	0	0	
forward_12S_Oct2019_464	1	0	0	
forward_12S_Oct2019_465	1	0	0	
forward_12S_Oct2019_466	1	0	0	
forward_12S_Oct2019_467	1	0	0	
forward_12S_Oct2019_468	1	0	0	
forward_12S_Oct2019_469	1	0	0	
forward_12S_Oct2019_470	1	0	0	
forward_12S_Oct2019_471	1	0	0	
forward_12S_Oct2019_472	1	0	0	
forward_12S_Oct2019_473	1	0	0	
forward_12S_Oct2019_474	1	0	0	
forward_12S_Oct2019_475	1	0	0	
forward_12S_Oct2019_476	1	0	0	
forward_12S_Oct2019_477	1	0	0	
forward_12S_Oct2019_478	1	0	0	
forward_12S_Oct2019_479	1	0	0	
forward_12S_Oct2019_480	1	0	0	
forward_12S_Oct2019_481	1	0	0	
forward_12S_Oct2019_482	1	0	0	
forward_12S_Oct2019_483	1	0	0	
forward_12S_Oct2019_484	1	0	0	
forward_12S_Oct2019_485	1	0	0	
forward_12S_Oct2019_486	1	0	0	
forward_12S_Oct2019_487	1	0	0	
forward_12S_Oct2019_488	1	0	0	
forward_12S_Oct2019_489	1	0	0	
forward_12S_Oct2019_490	1	0	0	
forward_12S_Oct2019_491	1	0	0	
forward_12S_Oct2019_492	1	0	0	
forward_12S_Oct2019_493	1	0	0	
forward_12S_Oct2019_494	1	0	0	
forward_12S_Oct2019_495	1	0	0	
forward_12S_Oct2019_496	1	0	0	
forward_12S_Oct2019_497	1	0	0	
forward_12S_Oct2019_498	1	0	0	
forward_12S_Oct2019_499	1	0	0	
forward_12S_Oct2019_500	1	0	0	
forward_12S_Oct2019_501	1	0	0	
forward_12S_Oct2019_502	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_503	1	0	0	Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena helleri
forward_12S_Oct2019_504	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_505	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_506	1	0	0	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_12S_Oct2019_507	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_508	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_509	1	0	0	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis;Chromis punctipinnis
forward_12S_Oct2019_510	1	0	0	
forward_12S_Oct2019_511	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_512	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_513	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_514	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_515	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_516	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_517	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_518	1	0	0	
forward_12S_Oct2019_519	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_520	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_521	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_522	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_523	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_524	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_525	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_526	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_527	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_528	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_529	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_530	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_531	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_532	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_533	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_534	1	0	0	
forward_12S_Oct2019_535	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_536	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_537	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_538	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_539	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_540	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_541	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_542	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_543	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_544	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_545	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_546	1	0	0	
forward_12S_Oct2019_547	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_548	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_549	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_550	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_551	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_552	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_553	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_554	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_555	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_556	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_557	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_558	1	0	0	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_12S_Oct2019_559	1	0	0	
forward_12S_Oct2019_560	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_561	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_562	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_563	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_564	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_565	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_566	1	0	0	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_12S_Oct2019_567	1	0	0	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombropidae;Scombrops;Scombrops boops
forward_12S_Oct2019_568	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_Oct2019_569	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_Oct2019_570	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_Oct2019_571	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_Oct2019_572	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_Oct2019_573	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_Oct2019_574	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_575	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;;;
forward_12S_Oct2019_576	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;
forward_12S_Oct2019_577	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;
forward_12S_Oct2019_578	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_579	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_580	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_581	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_582	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_583	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_584	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_585	1	0	0	
forward_12S_Oct2019_586	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_587	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_588	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_589	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_590	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_591	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_592	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_593	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_594	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_595	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_596	1	0	0	Eukaryota;Chordata;Actinopteri;Scombriformes;Centrolophidae;Icichthys;Icichthys lockingtoni
forward_12S_Oct2019_597	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_598	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_599	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_600	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_601	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_602	1	0	0	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;Lutjanus kasmira
forward_12S_Oct2019_603	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_604	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Oplegnathidae;Oplegnathus;Oplegnathus woodwardi
forward_12S_Oct2019_605	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_606	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_607	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_608	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_609	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_610	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;;;
forward_12S_Oct2019_611	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_612	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_613	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_614	1	0	0	Eukaryota;Chordata;Actinopteri;NA;Monodactylidae;Monodactylus;Monodactylus argenteus
forward_12S_Oct2019_615	1	0	0	
forward_12S_Oct2019_616	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Grammistes;Grammistes sexlineatus
forward_12S_Oct2019_617	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_618	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_619	1	0	0	Eukaryota;Chordata;Actinopteri;NA;Monodactylidae;Monodactylus;Monodactylus argenteus
forward_12S_Oct2019_620	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_621	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_622	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_623	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis japonicus
forward_12S_Oct2019_624	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_625	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_626	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_627	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Oplegnathidae;Oplegnathus;Oplegnathus woodwardi
forward_12S_Oct2019_628	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_629	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_630	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_631	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_632	1	0	0	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_12S_Oct2019_633	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_634	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_635	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_636	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_637	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_638	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_639	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_640	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_641	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_642	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_643	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_644	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_645	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_646	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_647	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_648	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_649	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_650	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_651	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_652	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_653	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_654	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_655	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_656	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_657	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_658	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_659	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_660	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_661	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_662	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_663	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_664	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_665	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_666	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_667	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_668	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_669	1	0	0	
forward_12S_Oct2019_670	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_671	1	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_Oct2019_672	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_673	1	0	0	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_12S_Oct2019_674	1	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_12S_Oct2019_675	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_676	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_677	1	0	0	
forward_12S_Oct2019_678	1	0	0	
forward_12S_Oct2019_679	1	0	0	
forward_12S_Oct2019_680	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_681	1	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Tripterygiidae;Enneapterygius;Enneapterygius philippinus
forward_12S_Oct2019_682	1	0	0	
forward_12S_Oct2019_683	1	0	0	
forward_12S_Oct2019_684	1	0	0	
forward_12S_Oct2019_685	1	0	0	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;;
forward_12S_Oct2019_686	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_687	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_688	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_689	1	0	0	Eukaryota;Chordata;Actinopteri;Scombriformes;Centrolophidae;Icichthys;Icichthys lockingtoni
forward_12S_Oct2019_690	1	0	0	Eukaryota;Chordata;Actinopteri;Scombriformes;Centrolophidae;Icichthys;Icichthys lockingtoni
forward_12S_Oct2019_691	1	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_Oct2019_692	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_693	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_694	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_695	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_696	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_697	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_698	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_699	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_700	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_701	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_702	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_703	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_12S_Oct2019_704	1	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
