all_seq_number	fishcard_12S_all_LSC.B.1.S22.L001	fishcard_12S_all_PP.B.1.S4.L001	fishcard_12S_all_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_fishcard_12S_all_713	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;FISHCARD_miu_291.1;KC136505.1;KC136543.1;KC136540.1;KC136531.1;KC136362.1;KC136398.1;KC136573.1;KC136377.1;KC136519.1;KC136570.1;KC136451.1;KC136404.1;LC037025.1;KC136516.1;KC136474.1;KC136456.1;KC136428.1;KC136375.1;KC136402.1;AP006010.1;DQ872160.1;KC136529.1;AB972189.1;KC136578.1;FISHCARD_miu_167.1
forward_fishcard_12S_all_714	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;FISHCARD_miu_291.1;KC136519.1;KC136404.1;KC136402.1;KC136377.1;KC136362.1;KC136570.1;KC136451.1;KC136456.1;KC136516.1;KC136428.1;KC136375.1;KC136543.1;KC136573.1;LC037025.1;KC136540.1;KC136474.1;KC136398.1;KC136531.1;KC136505.1;AB972189.1;AP006010.1;DQ872160.1;KC136529.1;FISHCARD_miu_167.1;KC136578.1
forward_fishcard_12S_all_715	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;FISHCARD_miu_291.1;KC136543.1;LC037025.1;KC136573.1;KC136362.1;KC136570.1;KC136531.1;KC136519.1;KC136375.1;KC136402.1;KC136428.1;KC136516.1;KC136451.1;KC136540.1;KC136377.1;KC136398.1;KC136505.1;KC136404.1;KC136456.1;KC136474.1;AP006010.1;DQ872160.1;KC136529.1;AB972189.1;FISHCARD_miu_167.1;KC136578.1
forward_fishcard_12S_all_716	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;FISHCARD_miu_291.1;AP006010.1;AB972189.1;DQ872160.1;KC136519.1;KC136362.1;LC037025.1;KC136540.1;KC136570.1;KC136505.1;KC136516.1;KC136377.1;KC136573.1;KC136543.1;KC136402.1;KC136456.1;KC136531.1;KC136398.1;KC136375.1;KC136404.1;KC136474.1;KC136451.1;KC136428.1;KC136529.1;KC136384.1;KC136558.1;EF616895.1;KC136423.1;KC136574.1;KC136521.1;AY279561.1;KC136409.1
forward_fishcard_12S_all_717	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_291.1;KC136408.1;KC136377.1;KC136474.1;KC136519.1;KC136398.1;KC136516.1;KC136573.1;KC136451.1;KC136543.1;KC136570.1;KC136456.1;KC136402.1;KC136540.1;KC136428.1;KC136531.1;KC136375.1;KC136362.1;LC037025.1;KC136505.1;KC136404.1;KC136529.1;AB972189.1;AP006010.1;DQ872160.1
forward_fishcard_12S_all_718	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;FISHCARD_miu_291.1;KC136505.1;KC136516.1;KC136375.1;KC136573.1;LC037025.1;KC136404.1;KC136428.1;KC136519.1;KC136451.1;KC136540.1;KC136456.1;KC136398.1;KC136543.1;KC136570.1;KC136362.1;KC136474.1;KC136531.1;KC136377.1;KC136402.1;AB972189.1;DQ872160.1;AP006010.1;KC136529.1;FISHCARD_miu_167.1;KC136578.1
forward_fishcard_12S_all_719	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;FISHCARD_miu_291.1;AB972189.1;AP006010.1;DQ872160.1;KC136516.1;KC136505.1;KC136519.1;KC136573.1;KC136377.1;KC136474.1;KC136543.1;LC037025.1;KC136531.1;KC136404.1;KC136540.1;KC136451.1;KC136428.1;KC136456.1;KC136362.1;KC136570.1;KC136398.1;KC136402.1;KC136375.1;KC136529.1;KC136558.1;KC136521.1;EF616895.1;AY279561.1;KC136384.1;KC136423.1;KC136409.1;KC136574.1
forward_fishcard_12S_all_720	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_291.1;KC136408.1;AB972189.1;AP006010.1;DQ872160.1;KC136404.1;KC136540.1;KC136428.1;KC136456.1;KC136451.1;KC136531.1;LC037025.1;KC136573.1;KC136402.1;KC136519.1;KC136474.1;KC136375.1;KC136398.1;KC136362.1;KC136516.1;KC136570.1;KC136543.1;KC136505.1;KC136377.1;KC136529.1;KC136521.1;KC136558.1;EF616895.1;KC136384.1;AY279561.1;KC136409.1;KC136423.1;KC136574.1;KC136578.1;FISHCARD_miu_167.1
forward_fishcard_12S_all_721	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;FISHCARD_miu_291.1;KC136375.1;KC136402.1;KC136505.1;KC136516.1;KC136362.1;KC136543.1;KC136531.1;KC136404.1;KC136570.1;KC136573.1;KC136474.1;KC136451.1;KC136398.1;KC136540.1;KC136456.1;KC136428.1;LC037025.1;KC136519.1;KC136377.1;KC136529.1;AB972189.1;DQ872160.1;AP006010.1;KC136578.1;FISHCARD_miu_167.1
forward_fishcard_12S_all_722	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Tetraodontiformes;family:Balistidae;genus:Balistes;species:Balistes polylepis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KT600939.1;AY700239.1
forward_fishcard_12S_all_723	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Tetraodontiformes;family:Balistidae;genus:Balistes;species:Balistes polylepis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AY700239.1;KT600939.1
forward_fishcard_12S_all_724	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Tetraodontiformes;family:Balistidae;genus:Balistes;species:Balistes polylepis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AY700239.1;KT600939.1
forward_fishcard_12S_all_725	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Tetraodontiformes;family:Balistidae;genus:Balistes;species:Balistes polylepis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AY700239.1;KT600939.1
forward_fishcard_12S_all_726	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Tetraodontiformes;family:Balistidae;genus:Balistes;species:Balistes polylepis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KT600939.1;AY700239.1
forward_fishcard_12S_all_727	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Tetraodontiformes;family:Balistidae;genus:Balistes;species:Balistes polylepis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AY700239.1;KT600939.1
forward_fishcard_12S_all_728	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena argentea;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_011.1
forward_fishcard_12S_all_729	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;FISHCARD_miu_291.1
forward_fishcard_12S_all_730	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena argentea;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_011.1
forward_fishcard_12S_all_731	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_291.1;KC136408.1
forward_fishcard_12S_all_732	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;FISHCARD_miu_291.1
forward_fishcard_12S_all_733	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_291.1;KC136408.1;KC136375.1;KC136402.1;KC136543.1;KC136570.1;KC136573.1;KC136531.1;KC136428.1;KC136505.1;LC037025.1;KC136519.1;KC136456.1;KC136516.1;KC136474.1;KC136404.1;KC136398.1;KC136377.1;KC136362.1;KC136451.1;KC136540.1
forward_fishcard_12S_all_734	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.75;species:99.75;	LC091962.1;FISHCARD_miu_036.1;LC091961.1;FISHCARD_miu_577.1;AB969927.1;KT819204.1;AB969955.1;FISHCARD_miu_578.1;KM978993.1;FISHCARD_miu_549.1;FISHCARD_miu_239.1
forward_fishcard_12S_all_735	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_736	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_737	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.75;species:99.75;	FISHCARD_miu_036.1;LC091961.1;LC091962.1;FISHCARD_miu_577.1;AB969927.1;FISHCARD_miu_239.1;FISHCARD_miu_578.1;AB969955.1;KT819204.1;FISHCARD_miu_549.1;KM978993.1;MH248172.1;FISHCARD_miu_153.1;FISHCARD_miu_551.1;FISHCARD_miu_139.1;AB969990.1;FISHCARD_miu_238.1
forward_fishcard_12S_all_738	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_036.1;LC091962.1;LC091961.1;FISHCARD_miu_577.1;AB969927.1;FISHCARD_miu_239.1
forward_fishcard_12S_all_739	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC091962.1;LC091961.1;FISHCARD_miu_036.1;FISHCARD_miu_577.1;AB969955.1;FISHCARD_miu_578.1;KT819204.1;AB969927.1;FISHCARD_miu_549.1;KM978993.1;FISHCARD_miu_239.1;MH248172.1;AB969990.1;FISHCARD_miu_153.1;FISHCARD_miu_139.1;FISHCARD_miu_238.1;FISHCARD_miu_551.1
forward_fishcard_12S_all_740	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.75;species:99.75;	LC091961.1;LC091962.1;FISHCARD_miu_036.1;FISHCARD_miu_577.1;AB969927.1;AB969955.1;FISHCARD_miu_239.1;KT819204.1;FISHCARD_miu_578.1;FISHCARD_miu_549.1;FISHCARD_miu_139.1;KM978993.1;FISHCARD_miu_153.1;MH248172.1;AB969990.1;FISHCARD_miu_551.1;FISHCARD_miu_238.1
forward_fishcard_12S_all_741	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC091962.1;FISHCARD_miu_036.1;LC091961.1;FISHCARD_miu_577.1;AB969927.1;MH248172.1;KT819204.1;KM978993.1;FISHCARD_miu_239.1;FISHCARD_miu_578.1;FISHCARD_miu_549.1;AB969955.1;FISHCARD_miu_139.1;AB969990.1;FISHCARD_miu_153.1;FISHCARD_miu_551.1;FISHCARD_miu_238.1
forward_fishcard_12S_all_742	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.25;species:99.25;	LC091961.1;LC091962.1;FISHCARD_miu_036.1;FISHCARD_miu_577.1;AB969927.1;FISHCARD_miu_549.1;KT819204.1;AB969955.1;FISHCARD_miu_239.1;FISHCARD_miu_578.1;FISHCARD_miu_153.1;MH248172.1;FISHCARD_miu_139.1;AB969990.1;KM978993.1;FISHCARD_miu_551.1;FISHCARD_miu_238.1
forward_fishcard_12S_all_743	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_036.1;LC091961.1;LC091962.1;FISHCARD_miu_577.1;AB969927.1;AB969955.1;KT819204.1;FISHCARD_miu_549.1;FISHCARD_miu_239.1;FISHCARD_miu_578.1;KM978993.1;MH248172.1;FISHCARD_miu_139.1;FISHCARD_miu_153.1;AB969990.1;FISHCARD_miu_551.1;FISHCARD_miu_238.1
forward_fishcard_12S_all_744	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC091961.1;LC091962.1;FISHCARD_miu_036.1;FISHCARD_miu_577.1;AB969927.1;FISHCARD_miu_239.1;FISHCARD_miu_549.1;FISHCARD_miu_578.1;AB969955.1;KT819204.1;KM978993.1;MH248172.1;FISHCARD_miu_139.1;FISHCARD_miu_551.1;FISHCARD_miu_153.1;AB969990.1;FISHCARD_miu_238.1
forward_fishcard_12S_all_745	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC091961.1;FISHCARD_miu_036.1;LC091962.1;FISHCARD_miu_577.1;AB969927.1;FISHCARD_miu_549.1;FISHCARD_miu_578.1;FISHCARD_miu_239.1;KT819204.1;AB969955.1;MH248172.1;KM978993.1;FISHCARD_miu_551.1;AB969990.1;FISHCARD_miu_153.1;FISHCARD_miu_139.1;FISHCARD_miu_238.1
forward_fishcard_12S_all_746	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC091961.1;LC091962.1;FISHCARD_miu_036.1;FISHCARD_miu_577.1;AB969927.1;FISHCARD_miu_239.1;FISHCARD_miu_549.1;KT819204.1;FISHCARD_miu_578.1;AB969955.1;KM978993.1;MH248172.1;FISHCARD_miu_153.1;AB969990.1;FISHCARD_miu_139.1;FISHCARD_miu_551.1;FISHCARD_miu_238.1
forward_fishcard_12S_all_747	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_748	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_749	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1;LC499268.1;FJ374787.1;LC474189.1;FISHCARD_miu_106.1;AB470304.1;KJ510417.1;DQ854636.1;DQ854634.1;AB470302.1;AB972112.1;DQ854629.1;FISHCARD_miu_411.1;DQ854626.1;DQ854627.1;KU315120.1;DQ854630.1;DQ854631.1;FISHCARD_miu_288.1;FISHCARD_miu_532.1;FISHCARD_miu_345.1;KJ510416.1;FISHCARD_miu_287.1;AB470303.1;KU315124.1;AB470306.1;MH248185.1;DQ854637.1;DQ854628.1;AB470305.1;KU315125.1;FJ616311.1;AY098623.1;KU315126.1;FISHCARD_miu_591.1;FISHCARD_miu_410.1;FJ374789.1;AB938134.1;KP412643.1;KP412637.1;FISHCARD_miu_330.1;KP412654.1;KP412642.1;KP412638.1;KP412651.1;AB185022.1;KP412658.1;KP412644.1;KP259549.1;KP412663.1;KP412647.1;AY279571.1;GU256524.1;KP412632.1;AB101291.1;KP412634.1;KP412646.1;KP412667.1;KP412636.1;KP412640.1;LC145943.1;KP412664.1;GU256526.1;KP412653.1;KF906721.1;KP412633.1;KP412666.1;DQ854646.1;AB470301.1;AB969955.1;AP006036.1;FISHCARD_miu_578.1;KT819204.1;FISHCARD_miu_412.1;KM978993.1;FISHCARD_miu_092.1;AB938135.1;JN125222.1;FISHCARD_miu_359.1;JN125224.1;FISHCARD_miu_263.1;FISHCARD_miu_085.1;FJ374788.1;FISHCARD_miu_226.1;FISHCARD_miu_328.1;JN086153.1;FISHCARD_miu_160.1;GU256528.1;AF488499.1;GU256525.1;AB974542.1;FISHCARD_miu_665.1;KT724724.1;KY400011.1;FISHCARD_miu_046.1;FISHCARD_miu_036.1;LC091961.1;FISHCARD_miu_238.1;LC091962.1;MH248172.1
forward_fishcard_12S_all_750	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_751	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_752	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_753	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1;LC499268.1;LC474189.1;FISHCARD_miu_106.1;FJ374787.1;FISHCARD_miu_330.1;LC145943.1;AY098623.1;DQ854629.1;AB470303.1;AB972112.1;MH248185.1;FISHCARD_miu_532.1;AB470305.1;FJ616311.1;FISHCARD_miu_411.1;KU315125.1;KJ510417.1;DQ854631.1;DQ854630.1;KU315126.1;KJ510416.1;DQ854637.1;FISHCARD_miu_288.1;AB470302.1;DQ854627.1;FISHCARD_miu_287.1;DQ854626.1;KU315120.1;DQ854628.1;KU315124.1;DQ854636.1;AB470306.1;FISHCARD_miu_345.1;DQ854634.1;AB470304.1;FISHCARD_miu_410.1;FISHCARD_miu_591.1;AB938134.1;FJ374789.1;KP412658.1;KP412662.1;KP412660.1;KP412661.1;KP412638.1;KP412648.1;KP412650.1;KP412657.1;KP412639.1;KP412640.1;AB185022.1;KP412647.1;KP412665.1;KP412641.1;KP412654.1;FISHCARD_miu_328.1;KF906721.1;KP412664.1;GU256524.1;AF488499.1;LC458218.1;JN086151.1;GU256526.1;KP412655.1;AB101291.1;KP412653.1;KP412651.1;KP412663.1;KP412668.1;KP412669.1;KP412644.1;KP412649.1;KP412633.1;KP412656.1;KP412659.1;KP412635.1;KP412632.1;LC377898.1;KP412645.1;KP259549.1;KP412667.1;KP412646.1;FISHCARD_miu_204.1;AY279571.1;KP412643.1;KP412634.1;KP412642.1;KP412637.1;KP412666.1;KP412636.1;KP412652.1;FISHCARD_miu_412.1;DQ854646.1;AP006036.1;AB470301.1;LC092080.1;FISHCARD_miu_329.1;LC049675.1;AB938135.1;FISHCARD_miu_202.1
forward_fishcard_12S_all_754	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_755	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_756	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_757	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_758	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_759	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1;LC474189.1;FJ374787.1;LC499268.1;FISHCARD_miu_106.1
forward_fishcard_12S_all_760	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_761	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1;FJ374787.1;LC499268.1;FISHCARD_miu_106.1;LC474189.1
forward_fishcard_12S_all_762	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1;FJ374787.1;LC499268.1;LC474189.1;FISHCARD_miu_106.1
forward_fishcard_12S_all_763	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1;LC499268.1;FJ374787.1;FISHCARD_miu_106.1;LC474189.1;AY098623.1;FISHCARD_miu_345.1;FJ616311.1
forward_fishcard_12S_all_764	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1;LC474189.1;FISHCARD_miu_106.1;LC499268.1;FJ374787.1;FISHCARD_miu_345.1;AY098623.1;FJ616311.1
forward_fishcard_12S_all_765	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_766	1	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
