all_seq_number	fishcard_12S_all_LSC.B.1.S22.L001	fishcard_12S_all_PP.B.1.S4.L001	fishcard_12S_all_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_fishcard_12S_all_13	5	6	3	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;FISHCARD_miu_291.1;KC136573.1;KC136570.1;KC136428.1;KC136402.1;KC136505.1;KC136519.1;KC136540.1;KC136451.1;LC037025.1;KC136404.1;KC136543.1;KC136375.1;KC136362.1;KC136456.1;KC136474.1;KC136516.1;KC136531.1;KC136398.1;KC136377.1;DQ872160.1;AB972189.1;KC136529.1;AP006010.1;FISHCARD_miu_167.1;KC136578.1;EF616895.1;KC136423.1;AY279561.1;KC136574.1;KC136558.1;KC136384.1;KC136409.1;KC136521.1
forward_fishcard_12S_all_14	5	6	3	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_291.1;KC136408.1;KC136398.1;KC136540.1;KC136456.1;KC136474.1;KC136516.1;KC136402.1;KC136531.1;KC136404.1;KC136377.1;KC136570.1;KC136428.1;KC136362.1;KC136543.1;KC136573.1;LC037025.1;KC136505.1;KC136451.1;KC136375.1;KC136519.1;KC136529.1;AP006010.1;AB972189.1;DQ872160.1;KC136578.1;FISHCARD_miu_167.1;KC136384.1;KC136574.1;AY279561.1;KC136409.1;KC136423.1;KC136521.1;KC136558.1;EF616895.1
forward_fishcard_12S_all_15	2	11	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:97.0;	FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_688.1;FISHCARD_miu_580.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_699.1
forward_fishcard_12S_all_16	2	1	10	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Embiotocidae;genus:Rhacochilus;species:Rhacochilus vacca;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:73.4844155844;species:72.2788600289;	FISHCARD_miu_406.1;FISHCARD_miu_043.1;LC091972.1;AY279572.1;LC091971.1;FISHCARD_miu_044.1;FISHCARD_miu_266.1;FISHCARD_miu_163.1;LC091976.1;FISHCARD_miu_264.1;FISHCARD_miu_685.1;LC091975.1;FISHCARD_miu_164.1;FISHCARD_miu_189.1;AY279573.1;KU530212.1;AF285918.1;FISHCARD_miu_701.1;FISHCARD_miu_141.1;LC091978.1;FISHCARD_miu_265.1;LC091977.1;AP009128.1;FJ616394.1;LC104608.1;FISHCARD_miu_142.1;FISHCARD_miu_263.1;LC091974.1;LC091973.1;FISHCARD_miu_160.1;FISHCARD_miu_046.1;JN125222.1;JN125224.1;FISHCARD_miu_161.1;FISHCARD_miu_162.1;AY279571.1;JN125227.1;JN125223.1;JN125226.1;JN125225.1
forward_fishcard_12S_all_17	0	11	2	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_289.1;KC136546.1
forward_fishcard_12S_all_18	3	1	7	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Semicossyphus;species:Semicossyphus pulcher;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_293.1;AY279644.1;EU601226.1
forward_fishcard_12S_all_19	0	6	5	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_289.1;KC136546.1
forward_fishcard_12S_all_20	2	5	3	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.5;	FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_580.1;FISHCARD_miu_676.1;FISHCARD_miu_699.1;FISHCARD_miu_678.1;FISHCARD_miu_688.1;FISHCARD_miu_683.1;FISHCARD_miu_348.1
forward_fishcard_12S_all_21	2	4	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Semicossyphus;species:Semicossyphus pulcher;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AY279644.1;EU601226.1;FISHCARD_miu_293.1
forward_fishcard_12S_all_22	0	0	10	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Blenniiformes;family:Gobiesocidae;genus:Gobiesox;species:Gobiesox rhessodon;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_037.1;FISHCARD_miu_582.1;LC092038.1;LC092040.1;FISHCARD_miu_005.1;LC092039.1
